,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
143,au2102                        ,33,116,19,19.098,,0.14628,2020-02-05
144,au2004                        ,1232,7992,395,451.512,,0.176834,2020-02-06
145,au2006                        ,754,7117,92,522.862,,0.170972,2020-02-06
146,au2008                        ,128,2502,36,163.066,,0.17076,2020-02-06
147,au2010                        ,17,553,-4,12.388,,0.151682,2020-02-06
148,au2012                        ,0,1119,0,0.0,,0.151682,2020-02-06
149,au2102                        ,0,116,0,0.0,,0.151682,2020-02-06
150,au2004                        ,1234,8409,417,580.336,,0.164934,2020-02-07
151,au2006                        ,563,7228,111,449.404,,0.164249,2020-02-07
152,au2008                        ,278,2588,86,318.478,,0.161354,2020-02-07
153,au2010                        ,11,552,-1,2.996,,0.148653,2020-02-07
154,au2012                        ,4,1120,1,2.572,,0.155157,2020-02-07
155,au2102                        ,5,121,5,3.73,,0.161756,2020-02-07
156,au2004                        ,1162,8552,143,550.374,,0.170927,2020-02-10
157,au2006                        ,623,7209,-19,621.578,,0.164392,2020-02-10
158,au2008                        ,347,2688,100,422.82,,0.162513,2020-02-10
159,au2010                        ,14,544,-8,11.152,,0.1677,2020-02-10
160,au2012                        ,37,1141,21,33.296,,0.163965,2020-02-10
161,au2102                        ,5,126,5,2.928,,0.155408,2020-02-10
162,au2004                        ,565,8711,159,238.322,,0.182313,2020-02-11
163,au2006                        ,556,7306,97,361.844,,0.168572,2020-02-11
164,au2008                        ,418,2864,176,400.206,,0.16113,2020-02-11
165,au2010                        ,126,569,25,215.726,,0.153676,2020-02-11
166,au2012                        ,120,1146,5,266.222,,0.15395,2020-02-11
167,au2102                        ,41,106,-20,15.992,,0.143769,2020-02-11
168,au2004                        ,715,8898,187,197.316,,0.175647,2020-02-12
169,au2006                        ,498,7274,-32,384.662,,0.165863,2020-02-12
170,au2008                        ,172,2904,40,135.934,,0.165143,2020-02-12
171,au2010                        ,18,575,6,6.772,,0.149794,2020-02-12
172,au2012                        ,7,1148,2,3.762,,0.150935,2020-02-12
173,au2102                        ,15,107,1,7.554,,0.14767,2020-02-12
174,au2004                        ,1406,9262,364,689.026,,0.153843,2020-02-13
175,au2006                        ,828,7411,137,674.286,,0.159054,2020-02-13
176,au2008                        ,177,2937,33,223.876,,0.160252,2020-02-13
177,au2010                        ,12,581,6,3.144,,0.149398,2020-02-13
178,au2012                        ,12,1155,7,3.842,,0.140758,2020-02-13
179,au2102                        ,13,108,1,2.784,,0.139033,2020-02-13
180,au2004                        ,734,9291,29,352.474,,0.151083,2020-02-14
181,au2006                        ,543,7456,45,414.71,,0.154988,2020-02-14
182,au2008                        ,169,2977,40,108.334,,0.157077,2020-02-14
183,au2010                        ,23,584,3,7.938,,0.147078,2020-02-14
184,au2012                        ,11,1162,7,4.718,,0.14216,2020-02-14
185,au2102                        ,0,108,0,0.0,,0.14216,2020-02-14
186,au2004                        ,804,9356,65,275.008,,0.169822,2020-02-17
187,au2006                        ,550,7556,100,373.11,,0.161983,2020-02-17
188,au2008                        ,893,2999,22,842.456,,0.154489,2020-02-17
189,au2010                        ,6,583,-1,2.404,,0.148364,2020-02-17
190,au2012                        ,3,1161,-1,2.058,,0.157449,2020-02-17
191,au2102                        ,2,109,1,1.098,,0.160249,2020-02-17
192,au2004                        ,952,9521,165,318.708,,0.163516,2020-02-18
193,au2005                        ,2,2,2,0.078,,0.17414,2020-02-18
194,au2006                        ,1842,7723,167,1367.05,,0.155121,2020-02-18
195,au2008                        ,1255,3224,225,1248.378,,0.153601,2020-02-18
196,au2010                        ,13,586,3,9.274,,0.148569,2020-02-18
197,au2012                        ,3,1163,2,2.21,,0.160919,2020-02-18
198,au2102                        ,3,111,2,3.05,,0.166442,2020-02-18
199,au2004                        ,2444,9380,-141,1267.044,,0.165363,2020-02-19
200,au2005                        ,0,2,0,0.0,,0.165363,2020-02-19
201,au2006                        ,2873,8473,750,2342.9,,0.165425,2020-02-19
202,au2008                        ,1495,3666,442,1378.706,,0.164162,2020-02-19
203,au2010                        ,47,603,17,25.406,,0.154403,2020-02-19
204,au2012                        ,25,1164,1,19.186,,0.151493,2020-02-19
205,au2102                        ,8,113,2,1.224,,0.142555,2020-02-19
206,au2004                        ,2190,9304,-76,902.418,,0.165781,2020-02-20
207,au2005                        ,0,2,0,0.0,,0.165781,2020-02-20
208,au2006                        ,3132,8429,-44,1608.222,,0.161354,2020-02-20
209,au2008                        ,2212,3403,-263,1476.43,,0.157966,2020-02-20
210,au2010                        ,44,579,-24,8.626,,0.152045,2020-02-20
211,au2012                        ,29,1165,1,8.038,,0.144173,2020-02-20
212,au2102                        ,8,111,-2,2.074,,0.140629,2020-02-20
213,au2004                        ,3468,9390,86,1760.518,,0.173743,2020-02-21
214,au2005                        ,2,3,1,0.71,,0.251056,2020-02-21
215,au2006                        ,3795,8918,489,3462.296,,0.161623,2020-02-21
216,au2008                        ,990,3323,-80,846.558,,0.158572,2020-02-21
217,au2010                        ,51,574,-5,11.744,,0.151967,2020-02-21
218,au2012                        ,40,1162,-3,12.006,,0.145495,2020-02-21
219,au2102                        ,50,126,15,22.61,,0.143507,2020-02-21
220,au2004                        ,4474,9854,464,3137.95,,0.193712,2020-02-24
221,au2005                        ,2,5,2,1.952,,0.353419,2020-02-24
222,au2006                        ,5884,9827,909,6690.684,,0.177038,2020-02-24
223,au2008                        ,936,3286,-37,783.45,,0.164576,2020-02-24
224,au2010                        ,132,606,32,129.788,,0.152282,2020-02-24
225,au2012                        ,79,1177,15,135.716,,0.146951,2020-02-24
226,au2102                        ,64,155,29,22.064,,0.147158,2020-02-24
227,au2004                        ,4868,10176,322,3666.256,,0.194605,2020-02-25
228,au2005                        ,9,9,4,7.964,,0.186002,2020-02-25
229,au2006                        ,4291,10483,656,5210.302,,0.181744,2020-02-25
230,au2008                        ,811,3346,60,950.64,,0.172035,2020-02-25
231,au2010                        ,43,621,15,17.836,,0.158006,2020-02-25
232,au2012                        ,33,1179,2,18.234,,0.156747,2020-02-25
233,au2102                        ,27,165,10,10.544,,0.149936,2020-02-25
234,au2004                        ,2779,10211,35,1375.73,,0.199671,2020-02-26
235,au2005                        ,10,16,7,1.99,,0.213192,2020-02-26
236,au2006                        ,2578,10577,94,2226.474,,0.187899,2020-02-26
237,au2008                        ,1079,3279,-67,824.95,,0.173732,2020-02-26
238,au2010                        ,26,632,11,18.468,,0.174433,2020-02-26
239,au2012                        ,14,1181,2,10.496,,0.155485,2020-02-26
240,au2102                        ,2,166,1,2.892,,0.176062,2020-02-26
241,au2004                        ,2073,10499,288,1381.144,,0.199709,2020-02-27
242,au2005                        ,71,77,61,50.776,,0.198742,2020-02-27
243,au2006                        ,2832,10833,256,2779.46,,0.188233,2020-02-27
244,au2008                        ,987,3174,-105,1091.502,,0.176163,2020-02-27
245,au2010                        ,11,632,0,4.23,,0.15776,2020-02-27
246,au2012                        ,21,1185,4,19.754,,0.15133,2020-02-27
247,au2102                        ,6,171,5,4.75,,0.157233,2020-02-27
248,au2004                        ,5890,10919,420,3565.11,,0.213995,2020-02-28
249,au2005                        ,2,79,2,0.086,,0.172884,2020-02-28
250,au2006                        ,4026,10711,-122,4377.378,,0.190622,2020-02-28
251,au2008                        ,563,3195,21,938.358,,0.185156,2020-02-28
252,au2010                        ,11,632,0,4.81,,0.166411,2020-02-28
253,au2012                        ,29,1184,-1,32.146,,0.17046,2020-02-28
254,au2102                        ,17,171,0,1.95,,0.151865,2020-02-28
255,au2004                        ,4901,10546,-373,2190.074,,0.241679,2020-03-02
256,au2005                        ,0,79,0,0.0,,0.241679,2020-03-02
257,au2006                        ,5198,11265,554,5029.066,,0.201826,2020-03-02
258,au2008                        ,596,3207,12,690.856,,0.189126,2020-03-02
259,au2010                        ,93,622,-10,59.138,,0.166147,2020-03-02
260,au2012                        ,88,1170,-14,82.318,,0.156174,2020-03-02
261,au2102                        ,51,207,36,72.716,,0.158123,2020-03-02
262,au2004                        ,2145,10558,12,804.134,,0.235707,2020-03-03
263,au2005                        ,0,79,0,0.0,,0.235707,2020-03-03
264,au2006                        ,1849,11498,233,1901.636,,0.207041,2020-03-03
265,au2008                        ,252,3219,12,382.488,,0.192884,2020-03-03
266,au2010                        ,62,626,4,52.392,,0.17465,2020-03-03
267,au2012                        ,28,1169,-1,19.178,,0.172499,2020-03-03
268,au2102                        ,5,211,4,7.79,,0.175494,2020-03-03
269,au2004                        ,3880,10282,-276,1506.824,,0.228782,2020-03-04
270,au2005                        ,5,81,2,1.446,,0.246521,2020-03-04
271,au2006                        ,3273,11887,389,3142.606,,0.211735,2020-03-04
272,au2008                        ,275,3251,32,269.9,,0.189795,2020-03-04
273,au2010                        ,127,666,40,97.33,,0.185359,2020-03-04
274,au2012                        ,47,1163,-6,19.408,,0.150074,2020-03-04
275,au2102                        ,46,241,30,30.548,,0.15225,2020-03-04
276,au2004                        ,2106,10052,-230,629.272,,0.217958,2020-03-05
277,au2005                        ,31,82,1,13.394,,0.210712,2020-03-05
278,au2006                        ,1934,12092,205,1530.534,,0.195476,2020-03-05
279,au2008                        ,360,3287,36,341.912,,0.180261,2020-03-05
280,au2010                        ,51,673,7,38.738,,0.163627,2020-03-05
281,au2012                        ,19,1151,-12,5.908,,0.152056,2020-03-05
282,au2102                        ,33,254,13,14.346,,0.14989,2020-03-05
283,au2004                        ,4941,9500,-552,2172.81,,0.22382,2020-03-06
284,au2005                        ,2,83,1,0.76,,0.204643,2020-03-06
285,au2006                        ,4837,12525,433,5254.202,,0.205025,2020-03-06
286,au2008                        ,568,3313,26,646.24,,0.189524,2020-03-06
287,au2010                        ,76,705,32,63.014,,0.180477,2020-03-06
288,au2012                        ,55,1180,29,32.232,,0.155479,2020-03-06
289,au2102                        ,9,258,4,5.91,,0.160127,2020-03-06
290,au2004                        ,4958,9491,-9,2987.958,,0.277911,2020-03-09
291,au2005                        ,11,92,9,2.722,,0.235152,2020-03-09
292,au2006                        ,8863,13159,634,10093.79,,0.237414,2020-03-09
293,au2008                        ,732,3377,64,968.086,,0.213818,2020-03-09
294,au2010                        ,112,756,51,92.088,,0.19806,2020-03-09
295,au2012                        ,55,1183,3,55.938,,0.162402,2020-03-09
296,au2102                        ,6,258,0,5.4,,0.17454,2020-03-09
297,au2004                        ,2993,9421,-70,1437.162,,0.271314,2020-03-10
298,au2005                        ,0,92,0,0.0,,0.271314,2020-03-10
299,au2006                        ,3429,13243,84,3326.564,,0.231262,2020-03-10
300,au2008                        ,1170,3468,91,1576.48,,0.219295,2020-03-10
301,au2010                        ,47,735,-21,37.366,,0.205783,2020-03-10
302,au2012                        ,17,1185,2,4.274,,0.165244,2020-03-10
303,au2102                        ,55,284,26,35.82,,0.16877,2020-03-10
304,au2004                        ,2306,9724,303,905.332,,0.263283,2020-03-11
305,au2005                        ,2,94,2,0.472,,0.267319,2020-03-11
306,au2006                        ,2360,13608,365,2469.292,,0.227273,2020-03-11
307,au2008                        ,679,3439,-29,1094.982,,0.212328,2020-03-11
308,au2010                        ,36,720,-15,29.148,,0.205938,2020-03-11
309,au2012                        ,0,1185,0,0.0,,0.205938,2020-03-11
310,au2102                        ,12,294,10,6.57,,0.163215,2020-03-11
311,au2004                        ,3417,9813,89,1653.676,,0.259077,2020-03-12
312,au2005                        ,7,96,2,2.026,,0.212263,2020-03-12
313,au2006                        ,3062,13404,-204,2937.262,,0.229843,2020-03-12
314,au2008                        ,1056,3458,19,1305.778,,0.216119,2020-03-12
315,au2010                        ,41,724,4,25.146,,0.181941,2020-03-12
316,au2012                        ,7,1188,3,1.718,,0.16688,2020-03-12
317,au2102                        ,13,302,8,6.206,,0.173429,2020-03-12
318,au2004                        ,9367,9646,-167,4654.226,,0.367954,2020-03-13
319,au2005                        ,80,107,11,45.168,,0.257294,2020-03-13
320,au2006                        ,7311,13549,145,7387.552,,0.269626,2020-03-13
321,au2008                        ,1684,3616,158,2473.624,,0.244136,2020-03-13
322,au2010                        ,213,790,66,198.578,,0.210865,2020-03-13
323,au2012                        ,224,1247,59,236.68,,0.185037,2020-03-13
324,au2102                        ,77,313,11,92.434,,0.187913,2020-03-13
325,au2004                        ,6119,9069,-577,3392.414,,0.461641,2020-03-16
326,au2005                        ,116,168,61,73.434,,0.296878,2020-03-16
327,au2006                        ,6282,13288,-261,7597.39,,0.315184,2020-03-16
328,au2008                        ,1096,3539,-77,1559.936,,0.271755,2020-03-16
329,au2010                        ,230,827,37,312.34,,0.267795,2020-03-16
330,au2012                        ,324,1342,95,581.092,,0.212368,2020-03-16
331,au2102                        ,63,332,19,44.436,,0.188481,2020-03-16
332,au2004                        ,5809,9125,56,3516.784,,0.541581,2020-03-17
333,au2005                        ,120,221,53,117.688,,0.358609,2020-03-17
334,au2006                        ,6249,12896,-392,7966.072,,0.362886,2020-03-17
335,au2008                        ,1252,3468,-71,1966.894,,0.306486,2020-03-17
336,au2010                        ,156,854,27,183.806,,0.282466,2020-03-17
337,au2012                        ,74,1370,28,85.038,,0.245825,2020-03-17
338,au2102                        ,70,333,1,84.23,,0.22284,2020-03-17
339,au2104                        ,53,51,51,153.752,,0.188746,2020-03-17
340,au2004                        ,4965,8590,-535,2819.262,,0.467362,2020-03-18
341,au2005                        ,59,244,23,30.862,,0.472878,2020-03-18
342,au2006                        ,4873,12663,-233,6719.512,,0.356898,2020-03-18
343,au2008                        ,1563,3468,0,2834.314,,0.310449,2020-03-18
344,au2010                        ,120,805,-49,139.254,,0.256907,2020-03-18
345,au2012                        ,41,1373,3,51.414,,0.240929,2020-03-18
346,au2102                        ,43,354,21,47.328,,0.234295,2020-03-18
347,au2104                        ,29,76,25,39.55,,0.216819,2020-03-18
348,au2004                        ,3358,8318,-272,1879.112,,0.54768,2020-03-19
349,au2005                        ,190,262,18,98.844,,0.408673,2020-03-19
350,au2006                        ,5205,12432,-231,8639.586,,0.406233,2020-03-19
351,au2008                        ,923,3279,-189,2401.6,,0.3555,2020-03-19
352,au2010                        ,157,815,10,247.138,,0.279835,2020-03-19
353,au2012                        ,56,1382,9,93.542,,0.246871,2020-03-19
354,au2102                        ,73,365,11,87.634,,0.228867,2020-03-19
355,au2104                        ,57,124,48,142.54,,0.218974,2020-03-19
356,au2004                        ,4578,8224,-94,1122.554,,0.467622,2020-03-20
357,au2005                        ,178,249,-13,133.298,,0.385278,2020-03-20
358,au2006                        ,5163,12914,482,6898.022,,0.375731,2020-03-20
359,au2008                        ,2274,3438,159,4958.29,,0.335673,2020-03-20
360,au2010                        ,162,824,9,254.702,,0.284737,2020-03-20
361,au2012                        ,48,1393,11,67.98,,0.247387,2020-03-20
362,au2102                        ,1,365,0,1.0,,0.23204,2020-03-20
363,au2104                        ,25,134,10,27.052,,0.220265,2020-03-20
364,au2004                        ,2835,8159,-65,1299.27,,0.44626,2020-03-23
365,au2005                        ,23,255,6,8.102,,0.402571,2020-03-23
366,au2006                        ,2003,13074,160,2442.252,,0.360149,2020-03-23
367,au2008                        ,876,3639,201,1410.328,,0.30774,2020-03-23
368,au2010                        ,112,766,-58,155.854,,0.27337,2020-03-23
369,au2012                        ,81,1366,-27,133.226,,0.24194,2020-03-23
370,au2102                        ,13,363,-2,17.374,,0.227979,2020-03-23
371,au2104                        ,2,136,2,1.19,,0.207164,2020-03-23
372,au2004                        ,6374,6844,-1315,2481.666,,0.429255,2020-03-24
373,au2005                        ,21,250,-5,6.578,,0.382584,2020-03-24
374,au2006                        ,5225,12663,-411,6649.942,,0.36312,2020-03-24
375,au2008                        ,778,3547,-92,1446.122,,0.325947,2020-03-24
376,au2010                        ,191,828,62,288.114,,0.285651,2020-03-24
377,au2012                        ,141,1420,54,206.468,,0.248312,2020-03-24
378,au2102                        ,44,389,26,100.866,,0.22796,2020-03-24
379,au2104                        ,56,156,20,83.716,,0.220807,2020-03-24
380,au2004                        ,3250,0,-6844,1646.408,1646,0.303423,2020-03-25
381,au2005                        ,28,256,6,9.588,,0.377376,2020-03-25
382,au2006                        ,6440,13718,1055,9447.678,,0.339451,2020-03-25
383,au2008                        ,1109,3451,-96,2090.308,,0.320874,2020-03-25
384,au2010                        ,161,854,26,198.644,,0.279474,2020-03-25
385,au2012                        ,83,1419,-1,78.032,,0.248467,2020-03-25
386,au2102                        ,76,367,-22,102.24,,0.232784,2020-03-25
387,au2104                        ,133,213,57,165.294,,0.214024,2020-03-25
388,au2005                        ,18,253,-3,3.352,,0.37223,2020-03-26
389,au2006                        ,2521,13898,180,3254.99,,0.327124,2020-03-26
390,au2008                        ,443,3497,46,652.312,,0.280849,2020-03-26
391,au2010                        ,110,845,-9,182.762,,0.253234,2020-03-26
392,au2012                        ,19,1417,-2,24.052,,0.225041,2020-03-26
393,au2102                        ,8,366,-1,4.066,,0.210295,2020-03-26
394,au2104                        ,6,218,5,2.876,,0.205197,2020-03-26
395,au2005                        ,24,259,6,3.084,,0.366837,2020-03-27
396,au2006                        ,2888,14160,262,3454.248,,0.328891,2020-03-27
397,au2008                        ,700,3573,76,803.974,,0.287327,2020-03-27
398,au2010                        ,321,845,0,585.598,,0.246701,2020-03-27
399,au2012                        ,40,1419,2,40.37,,0.234337,2020-03-27
400,au2102                        ,9,364,-2,5.496,,0.200182,2020-03-27
401,au2104                        ,1,218,0,0.24,,0.203524,2020-03-27
402,au2005                        ,71,254,-5,16.244,,0.33705,2020-03-30
403,au2006                        ,2565,14242,82,2527.976,,0.334591,2020-03-30
404,au2008                        ,941,3718,145,1761.37,,0.289885,2020-03-30
405,au2010                        ,178,880,35,275.61,,0.255585,2020-03-30
406,au2012                        ,35,1414,-5,22.824,,0.228696,2020-03-30
407,au2102                        ,10,363,-1,7.334,,0.216761,2020-03-30
408,au2104                        ,13,211,-7,7.432,,0.200183,2020-03-30
409,au2005                        ,25,256,2,7.428,,0.356734,2020-03-31
410,au2006                        ,2349,14548,306,1955.056,,0.325525,2020-03-31
411,au2008                        ,521,3789,71,593.574,,0.290022,2020-03-31
412,au2010                        ,387,987,107,624.162,,0.249949,2020-03-31
413,au2012                        ,41,1446,32,27.174,,0.225809,2020-03-31
414,au2102                        ,1,363,0,0.542,,0.213606,2020-03-31
415,au2104                        ,6,216,5,2.69,,0.20941,2020-03-31
