,合约代码   ,昨结算    ,今开盘    ,最高价    ,最低价    ,今收盘    ,今结算    ,涨跌1     ,涨跌2     ,成交量(手),持仓量    ,增减量    ,成交额(万元),DELTA     ,隐含波动率,行权量,date
27,CF401C18200,80.00     ,75.00     ,78.00     ,44.00     ,45.00     ,60.00     ,-35.00    ,-20.00    ,"5,924     ","5,037     ",-134      ,171.84      ,0.0974    ,21.43     ,0,2023-10-20
28,CF401C18400,65.00     ,56.00     ,69.00     ,35.00     ,35.00     ,48.00     ,-30.00    ,-17.00    ,"6,226     ","5,021     ","1,301     ",145.44      ,0.0801    ,21.83     ,0,2023-10-20
29,CF401C18600,52.00     ,45.00     ,57.00     ,29.00     ,30.00     ,40.00     ,-22.00    ,-12.00    ,"6,108     ","12,640    ",845       ,113.85      ,0.0665    ,22.23     ,0,2023-10-20
30,CF401C18800,42.00     ,38.00     ,42.00     ,22.00     ,22.00     ,32.00     ,-20.00    ,-10.00    ,"2,289     ","4,070     ",-30       ,36.20       ,0.0547    ,22.63     ,0,2023-10-20
31,CF401C19000,33.00     ,29.00     ,34.00     ,18.00     ,18.00     ,26.00     ,-15.00    ,-7.00     ,"4,292     ","7,188     ",-460      ,53.24       ,0.0456    ,23.02     ,0,2023-10-20
32,CF401C19200,27.00     ,26.00     ,27.00     ,14.00     ,15.00     ,21.00     ,-12.00    ,-6.00     ,"5,051     ","11,789    ",-760      ,51.27       ,0.0373    ,23.41     ,0,2023-10-20
33,CF401C19400,21.00     ,20.00     ,22.00     ,12.00     ,12.00     ,18.00     ,-9.00     ,-3.00     ,"3,174     ","5,734     ",-215      ,25.74       ,0.0315    ,23.79     ,0,2023-10-20
34,CF401C19600,17.00     ,17.00     ,18.00     ,11.00     ,11.00     ,14.00     ,-6.00     ,-3.00     ,"2,086     ","2,998     ",287       ,14.90       ,0.0258    ,24.17     ,0,2023-10-20
35,CF401C19800,13.00     ,13.00     ,15.00     ,8.00      ,9.00      ,12.00     ,-4.00     ,-1.00     ,"1,335     ","3,113     ",-438      ,7.32        ,0.0217    ,24.54     ,0,2023-10-20
36,CF401C20000,11.00     ,17.00     ,17.00     ,8.00      ,9.00      ,10.00     ,-2.00     ,-1.00     ,"5,170     ","16,861    ","-1,376    ",26.61       ,0.0181    ,24.90     ,0,2023-10-20
37,CF401C20400,7.00      ,11.00     ,11.00     ,6.00      ,7.00      ,7.00      ,0.00      ,0.00      ,"6,359     ","16,746    ","-1,042    ",24.78       ,0.0126    ,25.60     ,0,2023-10-20
38,CF401P12800,1.00      ,9.00      ,11.00     ,8.00      ,11.00     ,1.00      ,10.00     ,0.00      ,312       ,"8,510     ",16        ,1.55        ,-0.0019   ,22.29     ,0,2023-10-20
39,CF401P13000,1.00      ,9.00      ,10.00     ,8.00      ,9.00      ,1.00      ,8.00      ,0.00      ,67        ,"1,436     ",0         ,0.26        ,-0.0030   ,21.93     ,0,2023-10-20
40,CF401P13200,1.00      ,9.00      ,11.00     ,9.00      ,11.00     ,2.00      ,10.00     ,1.00      ,250       ,"1,109     ",19        ,1.27        ,-0.0046   ,21.57     ,0,2023-10-20
41,CF401P13400,2.00      ,11.00     ,11.00     ,11.00     ,11.00     ,3.00      ,9.00      ,1.00      ,20        ,721       ,2         ,0.11        ,-0.0068   ,21.22     ,0,2023-10-20
42,CF401P13600,3.00      ,11.00     ,12.00     ,11.00     ,12.00     ,5.00      ,9.00      ,2.00      ,14        ,482       ,12        ,0.08        ,-0.0104   ,20.88     ,0,2023-10-20
43,CF401P13800,5.00      ,11.00     ,13.00     ,11.00     ,13.00     ,7.00      ,8.00      ,2.00      ,63        ,927       ,-22       ,0.40        ,-0.0154   ,20.54     ,0,2023-10-20
44,CF401P14000,8.00      ,13.00     ,18.00     ,11.00     ,17.00     ,11.00     ,9.00      ,3.00      ,801       ,"2,405     ",72        ,5.71        ,-0.0223   ,20.21     ,0,2023-10-20
45,CF401P14200,13.00     ,14.00     ,22.00     ,14.00     ,20.00     ,16.00     ,7.00      ,3.00      ,985       ,"1,265     ",237       ,9.39        ,-0.0316   ,19.89     ,0,2023-10-20
46,CF401P14400,19.00     ,24.00     ,30.00     ,18.00     ,27.00     ,24.00     ,8.00      ,5.00      ,"3,346     ","2,041     ",372       ,40.16       ,-0.0452   ,19.59     ,0,2023-10-20
47,CF401P14600,28.00     ,29.00     ,46.00     ,24.00     ,41.00     ,34.00     ,13.00     ,6.00      ,"3,674     ","2,102     ",-72       ,61.55       ,-0.0632   ,19.30     ,0,2023-10-20
48,CF401P14800,41.00     ,42.00     ,69.00     ,35.00     ,62.00     ,49.00     ,21.00     ,8.00      ,"5,023     ","4,040     ",960       ,117.20      ,-0.0865   ,19.04     ,0,2023-10-20
49,CF401P15000,59.00     ,70.00     ,101.00    ,53.00     ,94.00     ,69.00     ,35.00     ,10.00     ,"16,052    ","26,346    ","-1,657    ",592.08      ,-0.1161   ,18.80     ,0,2023-10-20
50,CF401P15200,82.00     ,86.00     ,138.00    ,72.00     ,125.00    ,96.00     ,43.00     ,14.00     ,"7,041     ","3,696     ","1,087     ",356.33      ,-0.1531   ,18.59     ,0,2023-10-20
51,CF401P15400,113.00    ,120.00    ,185.00    ,100.00    ,171.00    ,132.00    ,58.00     ,19.00     ,"6,094     ","5,296     ","1,110     ",418.52      ,-0.1983   ,18.42     ,0,2023-10-20
52,CF401P15600,152.00    ,164.00    ,248.00    ,140.00    ,218.00    ,180.00    ,66.00     ,28.00     ,"7,436     ","7,611     ",810       ,698.43      ,-0.2521   ,18.30     ,0,2023-10-20
53,CF401P15800,201.00    ,224.00    ,325.00    ,190.00    ,310.00    ,240.00    ,109.00    ,39.00     ,"7,977     ","12,604    ",651       ,962.26      ,-0.3129   ,18.23     ,0,2023-10-20
54,CF401P16000,264.00    ,300.00    ,417.00    ,256.00    ,393.00    ,315.00    ,129.00    ,51.00     ,"16,849    ","15,334    ","-1,179    ","2,635.61    ",-0.3789   ,18.23     ,0,2023-10-20
55,CF401P16200,344.00    ,377.00    ,524.00    ,329.00    ,482.00    ,405.00    ,138.00    ,61.00     ,"6,362     ","7,582     ",-20       ,"1,250.55    ",-0.4477   ,18.29     ,3,2023-10-20
56,CF401P16400,441.00    ,483.00    ,647.00    ,432.00    ,623.00    ,510.00    ,182.00    ,69.00     ,"3,230     ","5,336     ",52        ,823.68      ,-0.5166   ,18.42     ,0,2023-10-20
57,CF401P16600,553.00    ,599.00    ,778.00    ,542.00    ,767.00    ,630.00    ,214.00    ,77.00     ,"1,929     ","6,636     ",-197      ,642.30      ,-0.5829   ,18.62     ,0,2023-10-20
58,CF401P16800,678.00    ,721.00    ,926.00    ,634.00    ,906.00    ,763.00    ,228.00    ,85.00     ,801       ,"6,730     ",-119      ,315.16      ,-0.6449   ,18.87     ,0,2023-10-20
59,CF401P17000,813.00    ,985.00    ,"1,109.00  ",826.00    ,"1,107.00  ",910.00    ,294.00    ,97.00     ,"1,766     ","7,464     ",-191      ,905.34      ,-0.7000   ,19.16     ,0,2023-10-20
60,CF401P17200,961.00    ,"1,149.00  ","1,238.00  ",969.00    ,"1,238.00  ","1,067.00  ",277.00    ,106.00    ,694       ,"8,474     ",16        ,368.86      ,-0.7480   ,19.50     ,0,2023-10-20
61,CF401P17400,"1,117.00  ","1,145.00  ","1,430.00  ","1,120.00  ","1,421.00  ","1,232.00  ",304.00    ,115.00    ,237       ,"8,380     ",-150      ,143.17      ,-0.7902   ,19.86     ,0,2023-10-20
62,CF401P17600,"1,280.00  ","1,478.00  ","1,478.00  ","1,284.00  ","1,322.00  ","1,403.00  ",42.00     ,123.00    ,5         ,"2,614     ",0         ,3.42        ,-0.8263   ,20.24     ,0,2023-10-20
63,CF401P17800,"1,450.00  ","1,466.00  ","1,763.00  ","1,466.00  ","1,763.00  ","1,582.00  ",313.00    ,132.00    ,85        ,"1,202     ",-7        ,68.44       ,-0.8554   ,20.63     ,0,2023-10-20
64,CF401P18000,"1,626.00  ","1,720.00  ","1,880.00  ","1,720.00  ","1,852.00  ","1,763.00  ",226.00    ,137.00    ,10        ,"1,083     ",-10       ,9.12        ,-0.8812   ,21.03     ,0,2023-10-20
65,CF401P18200,"1,805.00  ","1,831.00  ","2,133.00  ","1,831.00  ","2,133.00  ","1,949.00  ",328.00    ,144.00    ,29        ,"1,565     ",1         ,28.36       ,-0.9014   ,21.43     ,0,2023-10-20
66,CF401P18400,"1,989.00  ","2,050.00  ","2,060.00  ","2,050.00  ","2,060.00  ","2,137.00  ",71.00     ,148.00    ,17        ,573       ,0         ,17.46       ,-0.9191   ,21.83     ,0,2023-10-20
67,CF401P18600,"2,176.00  ","2,254.00  ","2,436.00  ","2,254.00  ","2,436.00  ","2,328.00  ",260.00    ,152.00    ,4         ,138       ,-1        ,4.60        ,-0.9333   ,22.23     ,0,2023-10-20
68,CF401P18800,"2,365.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,521.00  ",156.00    ,156.00    ,0         ,40        ,0         ,0.00        ,-0.9455   ,22.63     ,0,2023-10-20
69,CF401P19000,"2,557.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,715.00  ",158.00    ,158.00    ,0         ,16        ,0         ,0.00        ,-0.9551   ,23.02     ,0,2023-10-20
70,CF401P19200,"2,750.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,910.00  ",160.00    ,160.00    ,0         ,24        ,0         ,0.00        ,-0.9640   ,23.41     ,0,2023-10-20
71,CF401P19400,"2,944.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,106.00  ",162.00    ,162.00    ,0         ,3         ,0         ,0.00        ,-0.9704   ,23.79     ,0,2023-10-20
72,CF401P19600,"3,140.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,303.00  ",163.00    ,163.00    ,0         ,0         ,0         ,0.00        ,-0.9766   ,24.17     ,0,2023-10-20
73,CF401P19800,"3,337.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,501.00  ",164.00    ,164.00    ,0         ,0         ,0         ,0.00        ,-0.9813   ,24.54     ,0,2023-10-20
74,CF401P20000,"3,535.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,699.00  ",164.00    ,164.00    ,0         ,10        ,0         ,0.00        ,-0.9854   ,24.90     ,0,2023-10-20
75,CF401P20400,"3,931.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"4,096.00  ",165.00    ,165.00    ,0         ,9         ,0         ,0.00        ,-0.9921   ,25.60     ,0,2023-10-20
76,CF403C14200,"2,273.00  ","2,096.00  ","2,096.00  ","2,087.00  ","2,087.00  ","2,118.00  ",-186.00   ,-155.00   ,6         ,42        ,3         ,6.27        ,0.9251    ,17.42     ,0,2023-10-20
77,CF403C14400,"2,092.00  ","1,917.00  ","1,917.00  ","1,908.00  ","1,908.00  ","1,939.00  ",-184.00   ,-153.00   ,6         ,26        ,3         ,5.74        ,0.9014    ,17.40     ,0,2023-10-20
78,CF403C14600,"1,915.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,765.00  ",-150.00   ,-150.00   ,0         ,3         ,0         ,0.00        ,0.8738    ,17.39     ,0,2023-10-20
79,CF403C14800,"1,745.00  ","1,714.00  ","1,714.00  ","1,652.00  ","1,656.00  ","1,597.00  ",-89.00    ,-148.00   ,22        ,22        ,2         ,18.20       ,0.8430    ,17.38     ,0,2023-10-20
80,CF403C15000,"1,583.00  ","1,419.00  ","1,419.00  ","1,407.00  ","1,407.00  ","1,438.00  ",-176.00   ,-145.00   ,6         ,12        ,3         ,4.24        ,0.8075    ,17.39     ,0,2023-10-20
81,CF403C15200,"1,426.00  ","1,390.00  ","1,393.00  ","1,256.00  ","1,315.00  ","1,288.00  ",-111.00   ,-138.00   ,27        ,15        ,-6        ,17.85       ,0.7677    ,17.41     ,0,2023-10-20
82,CF403C15400,"1,279.00  ","1,156.00  ","1,170.00  ","1,109.00  ","1,170.00  ","1,145.00  ",-109.00   ,-134.00   ,24        ,58        ,8         ,13.73       ,0.7254    ,17.43     ,0,2023-10-20
83,CF403C15600,"1,142.00  ","1,087.00  ","1,111.00  ",933.00    ,933.00    ,"1,012.00  ",-209.00   ,-130.00   ,103       ,163       ,50        ,55.55       ,0.6799    ,17.47     ,0,2023-10-20
84,CF403C15800,"1,011.00  ",959.00    ,982.00    ,754.00    ,754.00    ,891.00    ,-257.00   ,-120.00   ,145       ,146       ,39        ,62.21       ,0.6321    ,17.51     ,0,2023-10-20
85,CF403C16000,893.00    ,839.00    ,860.00    ,681.00    ,681.00    ,777.00    ,-212.00   ,-116.00   ,109       ,230       ,-12       ,42.09       ,0.5835    ,17.57     ,0,2023-10-20
86,CF403C16200,784.00    ,733.00    ,742.00    ,619.00    ,619.00    ,676.00    ,-165.00   ,-108.00   ,37        ,230       ,-30       ,13.20       ,0.5341    ,17.63     ,0,2023-10-20
87,CF403C16400,683.00    ,624.00    ,646.00    ,487.00    ,489.00    ,585.00    ,-194.00   ,-98.00    ,125       ,430       ,-22       ,38.28       ,0.4854    ,17.70     ,0,2023-10-20
88,CF403C16600,595.00    ,554.00    ,570.00    ,425.00    ,428.00    ,501.00    ,-167.00   ,-94.00    ,72        ,"1,488     ",0         ,18.35       ,0.4375    ,17.78     ,0,2023-10-20
89,CF403C16800,511.00    ,473.00    ,492.00    ,350.00    ,350.00    ,432.00    ,-161.00   ,-79.00    ,157       ,"1,427     ",22        ,32.15       ,0.3922    ,17.86     ,0,2023-10-20
90,CF403C17000,442.00    ,396.00    ,421.00    ,296.00    ,296.00    ,367.00    ,-146.00   ,-75.00    ,325       ,743       ,29        ,60.61       ,0.3486    ,17.95     ,0,2023-10-20
91,CF403C17200,377.00    ,336.00    ,359.00    ,266.00    ,266.00    ,312.00    ,-111.00   ,-65.00    ,176       ,477       ,29        ,29.07       ,0.3084    ,18.05     ,0,2023-10-20
92,CF403C17400,322.00    ,293.00    ,305.00    ,208.00    ,213.00    ,264.00    ,-109.00   ,-58.00    ,288       ,439       ,42        ,37.04       ,0.2710    ,18.15     ,0,2023-10-20
93,CF403C17600,273.00    ,247.00    ,258.00    ,172.00    ,172.00    ,222.00    ,-101.00   ,-51.00    ,343       ,450       ,45        ,36.75       ,0.2367    ,18.26     ,0,2023-10-20
94,CF403C17800,231.00    ,210.00    ,219.00    ,144.00    ,144.00    ,187.00    ,-87.00    ,-44.00    ,488       ,572       ,-1        ,41.97       ,0.2061    ,18.38     ,0,2023-10-20
95,CF403C18000,195.00    ,174.00    ,185.00    ,120.00    ,120.00    ,157.00    ,-75.00    ,-38.00    ,796       ,691       ,188       ,57.49       ,0.1781    ,18.50     ,0,2023-10-20
96,CF403C18200,164.00    ,144.00    ,155.00    ,101.00    ,101.00    ,132.00    ,-63.00    ,-32.00    ,488       ,550       ,165       ,30.42       ,0.1540    ,18.62     ,0,2023-10-20
97,CF403C18400,137.00    ,119.00    ,128.00    ,84.00     ,84.00     ,110.00    ,-53.00    ,-27.00    ,429       ,473       ,159       ,23.90       ,0.1321    ,18.75     ,0,2023-10-20
98,CF403C18600,115.00    ,90.00     ,107.00    ,67.00     ,67.00     ,92.00     ,-48.00    ,-23.00    ,580       ,505       ,21        ,26.52       ,0.1133    ,18.88     ,0,2023-10-20
99,CF403C18800,96.00     ,81.00     ,89.00     ,59.00     ,59.00     ,77.00     ,-37.00    ,-19.00    ,288       ,896       ,-18       ,11.57       ,0.0969    ,19.02     ,0,2023-10-20
100,CF403C19000,80.00     ,68.00     ,76.00     ,53.00     ,53.00     ,63.00     ,-27.00    ,-17.00    ,226       ,986       ,79        ,8.04        ,0.0823    ,19.15     ,0,2023-10-20
101,CF403C19200,66.00     ,60.00     ,63.00     ,42.00     ,42.00     ,53.00     ,-24.00    ,-13.00    ,807       ,"2,364     ",440       ,22.30       ,0.0705    ,19.29     ,0,2023-10-20
102,CF403C19400,55.00     ,48.00     ,53.00     ,37.00     ,37.00     ,44.00     ,-18.00    ,-11.00    ,203       ,600       ,9         ,4.75        ,0.0590    ,19.44     ,0,2023-10-20
103,CF403C19600,45.00     ,41.00     ,45.00     ,33.00     ,33.00     ,37.00     ,-12.00    ,-8.00     ,"1,564     ","1,550     ",809       ,32.20       ,0.0509    ,19.58     ,0,2023-10-20
104,CF403C19800,38.00     ,36.00     ,39.00     ,29.00     ,30.00     ,31.00     ,-8.00     ,-7.00     ,"1,104     ","2,383     ",269       ,19.00       ,0.0429    ,19.73     ,0,2023-10-20
105,CF403P14200,50.00     ,47.00     ,74.00     ,45.00     ,74.00     ,55.00     ,24.00     ,5.00      ,178       ,313       ,-80       ,4.66        ,-0.0736   ,17.42     ,0,2023-10-20
106,CF403P14400,69.00     ,63.00     ,102.00    ,63.00     ,97.00     ,75.00     ,28.00     ,6.00      ,460       ,294       ,92        ,18.29       ,-0.0960   ,17.40     ,0,2023-10-20
107,CF403P14600,92.00     ,84.00     ,135.00    ,83.00     ,127.00    ,101.00    ,35.00     ,9.00      ,594       ,388       ,-34       ,32.25       ,-0.1224   ,17.39     ,0,2023-10-20
108,CF403P14800,121.00    ,112.00    ,174.00    ,111.00    ,168.00    ,133.00    ,47.00     ,12.00     ,317       ,693       ,-1        ,21.04       ,-0.1523   ,17.38     ,0,2023-10-20
109,CF403P15000,158.00    ,146.00    ,222.00    ,144.00    ,208.00    ,172.00    ,50.00     ,14.00     ,797       ,914       ,371       ,77.03       ,-0.1869   ,17.39     ,0,2023-10-20
110,CF403P15200,200.00    ,200.00    ,272.00    ,185.00    ,269.00    ,221.00    ,69.00     ,21.00     ,265       ,392       ,-11       ,28.53       ,-0.2260   ,17.41     ,0,2023-10-20
111,CF403P15400,252.00    ,238.00    ,347.00    ,235.00    ,341.00    ,276.00    ,89.00     ,24.00     ,366       ,416       ,3         ,53.27       ,-0.2678   ,17.43     ,0,2023-10-20
112,CF403P15600,313.00    ,297.00    ,424.00    ,296.00    ,410.00    ,342.00    ,97.00     ,29.00     ,206       ,413       ,-14       ,34.19       ,-0.3128   ,17.47     ,0,2023-10-20
113,CF403P15800,381.00    ,367.00    ,489.00    ,366.00    ,483.00    ,420.00    ,102.00    ,39.00     ,226       ,785       ,-16       ,46.16       ,-0.3603   ,17.51     ,0,2023-10-20
114,CF403P16000,462.00    ,447.00    ,610.00    ,446.00    ,600.00    ,504.00    ,138.00    ,42.00     ,380       ,665       ,27        ,101.87      ,-0.4088   ,17.57     ,0,2023-10-20
115,CF403P16200,551.00    ,549.00    ,693.00    ,541.00    ,693.00    ,602.00    ,142.00    ,51.00     ,225       ,698       ,-33       ,73.99       ,-0.4580   ,17.63     ,0,2023-10-20
116,CF403P16400,648.00    ,636.00    ,783.00    ,636.00    ,783.00    ,709.00    ,135.00    ,61.00     ,342       ,413       ,-134      ,123.77      ,-0.5067   ,17.70     ,0,2023-10-20
117,CF403P16600,758.00    ,765.00    ,931.00    ,750.00    ,926.00    ,823.00    ,168.00    ,65.00     ,77        ,226       ,-2        ,32.98       ,-0.5548   ,17.78     ,0,2023-10-20
118,CF403P16800,874.00    ,886.00    ,"1,069.00  ",868.00    ,"1,060.00  ",952.00    ,186.00    ,78.00     ,117       ,772       ,5         ,55.53       ,-0.6002   ,17.86     ,0,2023-10-20
119,CF403P17000,"1,002.00  ","1,004.00  ","1,219.00  ",997.00    ,"1,215.00  ","1,086.00  ",213.00    ,84.00     ,90        ,390       ,17        ,49.38       ,-0.6441   ,17.95     ,0,2023-10-20
120,CF403P17200,"1,136.00  ","1,137.00  ","1,348.00  ","1,137.00  ","1,348.00  ","1,230.00  ",212.00    ,94.00     ,65        ,242       ,25        ,41.67       ,-0.6848   ,18.05     ,0,2023-10-20
121,CF403P17400,"1,280.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,381.00  ",101.00    ,101.00    ,0         ,253       ,0         ,0.00        ,-0.7226   ,18.15     ,0,2023-10-20
122,CF403P17600,"1,430.00  ","1,679.00  ","1,679.00  ","1,673.00  ","1,673.00  ","1,538.00  ",243.00    ,108.00    ,3         ,269       ,0         ,2.51        ,-0.7575   ,18.26     ,0,2023-10-20
123,CF403P17800,"1,586.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,702.00  ",116.00    ,116.00    ,0         ,364       ,0         ,0.00        ,-0.7886   ,18.38     ,0,2023-10-20
124,CF403P18000,"1,749.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,870.00  ",121.00    ,121.00    ,0         ,330       ,0         ,0.00        ,-0.8173   ,18.50     ,0,2023-10-20
125,CF403P18200,"1,916.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,044.00  ",128.00    ,128.00    ,0         ,134       ,0         ,0.00        ,-0.8422   ,18.62     ,0,2023-10-20
126,CF403P18400,"2,089.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,221.00  ",132.00    ,132.00    ,0         ,56        ,0         ,0.00        ,-0.8650   ,18.75     ,0,2023-10-20
127,CF403P18600,"2,266.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,402.00  ",136.00    ,136.00    ,0         ,6         ,0         ,0.00        ,-0.8846   ,18.88     ,0,2023-10-20
128,CF403P18800,"2,446.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,587.00  ",141.00    ,141.00    ,0         ,15        ,0         ,0.00        ,-0.9019   ,19.02     ,0,2023-10-20
129,CF403P19000,"2,630.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,773.00  ",143.00    ,143.00    ,0         ,18        ,0         ,0.00        ,-0.9175   ,19.15     ,0,2023-10-20
130,CF403P19200,"2,815.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,963.00  ",148.00    ,148.00    ,0         ,6         ,0         ,0.00        ,-0.9304   ,19.29     ,0,2023-10-20
131,CF403P19400,"3,004.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,153.00  ",149.00    ,149.00    ,0         ,0         ,0         ,0.00        ,-0.9430   ,19.44     ,0,2023-10-20
