,合约系列,隐含波动率(%),date
196,m1707,14.98,2017-05-15
197,m1708,15.34,2017-05-15
198,m1709,15.42,2017-05-15
199,m1711,15,2017-05-15
200,m1712,14.38,2017-05-15
201,m1801,14.49,2017-05-15
202,m1803,15.07,2017-05-15
203,m1707,12.75,2017-05-16
204,m1708,13.69,2017-05-16
205,m1709,15.12,2017-05-16
206,m1711,15.46,2017-05-16
207,m1712,14.82,2017-05-16
208,m1801,14.52,2017-05-16
209,m1803,15.62,2017-05-16
210,m1707,10.83,2017-05-17
211,m1708,13.44,2017-05-17
212,m1709,14.8,2017-05-17
213,m1711,13.59,2017-05-17
214,m1712,14.2,2017-05-17
215,m1801,14.02,2017-05-17
216,m1803,13.64,2017-05-17
217,m1805,13.14,2017-05-17
218,m1707,11.58,2017-05-18
219,m1708,13.95,2017-05-18
220,m1709,14.37,2017-05-18
221,m1711,14.71,2017-05-18
222,m1712,14.94,2017-05-18
223,m1801,13.84,2017-05-18
224,m1803,14.67,2017-05-18
225,m1805,13.09,2017-05-18
226,m1707,9.9,2017-05-19
227,m1708,12.57,2017-05-19
228,m1709,14.63,2017-05-19
229,m1711,14,2017-05-19
230,m1712,15.13,2017-05-19
231,m1801,14.17,2017-05-19
232,m1803,14.51,2017-05-19
233,m1805,13.55,2017-05-19
234,m1707,12.71,2017-05-22
235,m1708,13.88,2017-05-22
236,m1709,15.38,2017-05-22
237,m1711,13.73,2017-05-22
238,m1712,13.06,2017-05-22
239,m1801,13.93,2017-05-22
240,m1803,13.93,2017-05-22
241,m1805,13.79,2017-05-22
242,m1707,12.58,2017-05-23
243,m1708,15.05,2017-05-23
244,m1709,15.24,2017-05-23
245,m1711,13.59,2017-05-23
246,m1712,12.98,2017-05-23
247,m1801,13.8,2017-05-23
248,m1803,13.31,2017-05-23
249,m1805,13.92,2017-05-23
250,m1707,9.41,2017-05-24
251,m1708,13.2,2017-05-24
252,m1709,15.35,2017-05-24
253,m1711,14.91,2017-05-24
254,m1712,12.53,2017-05-24
255,m1801,13.8,2017-05-24
256,m1803,12.9,2017-05-24
257,m1805,13.57,2017-05-24
258,m1707,12.42,2017-05-25
259,m1708,12.42,2017-05-25
260,m1709,15.2,2017-05-25
261,m1711,13.77,2017-05-25
262,m1712,13.9,2017-05-25
263,m1801,13.82,2017-05-25
264,m1803,14.38,2017-05-25
265,m1805,13.21,2017-05-25
266,m1707,10.72,2017-05-26
267,m1708,14.45,2017-05-26
268,m1709,15.95,2017-05-26
269,m1711,15.37,2017-05-26
270,m1712,16.93,2017-05-26
271,m1801,14.72,2017-05-26
272,m1803,13.16,2017-05-26
273,m1805,13.41,2017-05-26
274,m1707,10.93,2017-05-31
275,m1708,14.99,2017-05-31
276,m1709,17.18,2017-05-31
277,m1711,16.04,2017-05-31
278,m1712,15.76,2017-05-31
279,m1801,15.34,2017-05-31
280,m1803,14.66,2017-05-31
281,m1805,13.52,2017-05-31
282,m1707,11.04,2017-06-01
283,m1708,16.7,2017-06-01
284,m1709,17.8,2017-06-01
285,m1711,16.66,2017-06-01
286,m1712,14.37,2017-06-01
287,m1801,16.37,2017-06-01
288,m1803,17.23,2017-06-01
289,m1805,14.79,2017-06-01
290,m1707,17.08,2017-06-02
291,m1708,18.64,2017-06-02
292,m1709,18.21,2017-06-02
293,m1711,18.23,2017-06-02
294,m1712,16.25,2017-06-02
295,m1801,16.88,2017-06-02
296,m1803,15.12,2017-06-02
297,m1805,14.3,2017-06-02
298,m1707,24.26,2017-06-05
299,m1708,15.27,2017-06-05
300,m1709,17.89,2017-06-05
301,m1711,16.52,2017-06-05
302,m1712,17.65,2017-06-05
303,m1801,16.69,2017-06-05
304,m1803,17.6,2017-06-05
305,m1805,14.99,2017-06-05
306,m1707,23.19,2017-06-06
307,m1708,15.96,2017-06-06
308,m1709,17.74,2017-06-06
309,m1711,11.69,2017-06-06
310,m1712,17.37,2017-06-06
311,m1801,16.01,2017-06-06
312,m1803,14.68,2017-06-06
313,m1805,15.73,2017-06-06
314,m1707,16.42,2017-06-07
315,m1708,16.42,2017-06-07
316,m1709,17.99,2017-06-07
317,m1711,16.73,2017-06-07
318,m1712,15.39,2017-06-07
319,m1801,16.79,2017-06-07
320,m1803,16.36,2017-06-07
321,m1805,16.04,2017-06-07
322,m1708,16.41,2017-06-08
323,m1709,17.89,2017-06-08
324,m1711,17.88,2017-06-08
325,m1712,17.69,2017-06-08
326,m1801,16.84,2017-06-08
327,m1803,15.91,2017-06-08
328,m1805,15.69,2017-06-08
329,m1708,20.73,2017-06-09
330,m1709,18.22,2017-06-09
331,m1711,18.31,2017-06-09
332,m1712,17.62,2017-06-09
333,m1801,16.92,2017-06-09
334,m1803,15.99,2017-06-09
335,m1805,15.37,2017-06-09
336,m1708,17.79,2017-06-12
337,m1709,18.62,2017-06-12
338,m1711,17.7,2017-06-12
339,m1712,19.18,2017-06-12
340,m1801,18.12,2017-06-12
341,m1803,16.2,2017-06-12
342,m1805,16.22,2017-06-12
343,m1708,20.49,2017-06-13
344,m1709,18.91,2017-06-13
345,m1711,16.84,2017-06-13
346,m1712,19.07,2017-06-13
347,m1801,18.3,2017-06-13
348,m1803,17.06,2017-06-13
349,m1805,16.22,2017-06-13
350,m1708,17.89,2017-06-14
351,m1709,18.84,2017-06-14
352,m1711,18.84,2017-06-14
353,m1712,16.67,2017-06-14
354,m1801,18.28,2017-06-14
355,m1803,17.12,2017-06-14
356,m1805,16.57,2017-06-14
357,m1708,16.75,2017-06-15
358,m1709,18.71,2017-06-15
359,m1711,16.93,2017-06-15
360,m1712,16.93,2017-06-15
361,m1801,18.44,2017-06-15
362,m1803,18.24,2017-06-15
363,m1805,17.06,2017-06-15
364,m1708,15.72,2017-06-16
365,m1709,18.01,2017-06-16
366,m1711,17.01,2017-06-16
367,m1712,19.15,2017-06-16
368,m1801,18.35,2017-06-16
369,m1803,17.88,2017-06-16
370,m1805,16.6,2017-06-16
371,m1708,19.19,2017-06-19
372,m1709,18.14,2017-06-19
373,m1711,17.21,2017-06-19
374,m1712,19.47,2017-06-19
375,m1801,18.09,2017-06-19
376,m1803,18.09,2017-06-19
377,m1805,16.13,2017-06-19
378,m1708,19.49,2017-06-20
379,m1709,18.17,2017-06-20
380,m1711,17.71,2017-06-20
381,m1712,17.92,2017-06-20
382,m1801,18.19,2017-06-20
383,m1803,17.99,2017-06-20
384,m1805,16.37,2017-06-20
385,m1708,17.33,2017-06-21
386,m1709,19.34,2017-06-21
387,m1711,17.14,2017-06-21
388,m1712,17.17,2017-06-21
389,m1801,18.1,2017-06-21
390,m1803,18.35,2017-06-21
391,m1805,16.68,2017-06-21
392,m1708,17.79,2017-06-22
393,m1709,18.32,2017-06-22
394,m1711,17.88,2017-06-22
395,m1712,16.31,2017-06-22
396,m1801,18.26,2017-06-22
397,m1803,19.29,2017-06-22
398,m1805,16.72,2017-06-22
399,m1708,19.62,2017-06-23
400,m1709,18.54,2017-06-23
401,m1711,19.57,2017-06-23
402,m1712,16.66,2017-06-23
403,m1801,18.47,2017-06-23
404,m1803,17.11,2017-06-23
405,m1805,16.71,2017-06-23
406,m1708,16.08,2017-06-26
407,m1709,18.84,2017-06-26
408,m1711,16.5,2017-06-26
409,m1712,17.67,2017-06-26
410,m1801,18.07,2017-06-26
411,m1803,16.91,2017-06-26
412,m1805,17.62,2017-06-26
413,m1708,18.1,2017-06-27
414,m1709,19.1,2017-06-27
415,m1711,19.03,2017-06-27
416,m1712,17.36,2017-06-27
417,m1801,18.89,2017-06-27
418,m1803,16.35,2017-06-27
419,m1805,17.7,2017-06-27
420,m1708,24.95,2017-06-28
421,m1709,19.39,2017-06-28
422,m1711,24.19,2017-06-28
423,m1712,18.57,2017-06-28
424,m1801,18.94,2017-06-28
425,m1803,18.94,2017-06-28
426,m1805,17.68,2017-06-28
427,m1708,18.69,2017-06-29
428,m1709,19.82,2017-06-29
429,m1711,17.72,2017-06-29
430,m1712,19.35,2017-06-29
431,m1801,18.93,2017-06-29
432,m1803,17.55,2017-06-29
433,m1805,17.69,2017-06-29
434,m1708,18.33,2017-06-30
435,m1709,19.92,2017-06-30
436,m1711,17.95,2017-06-30
437,m1712,17.32,2017-06-30
438,m1801,18.6,2017-06-30
439,m1803,20.67,2017-06-30
440,m1805,17.55,2017-06-30
441,m1708,25.21,2017-07-03
442,m1709,19.75,2017-07-03
443,m1711,20.29,2017-07-03
444,m1712,19.1,2017-07-03
445,m1801,18.99,2017-07-03
446,m1803,17.05,2017-07-03
447,m1805,17.74,2017-07-03
448,m1708,24.69,2017-07-04
449,m1709,19.42,2017-07-04
450,m1711,17.45,2017-07-04
451,m1712,18.47,2017-07-04
452,m1801,19.21,2017-07-04
453,m1803,18.19,2017-07-04
454,m1805,17.33,2017-07-04
455,m1708,28.54,2017-07-05
456,m1709,19.32,2017-07-05
457,m1711,19.32,2017-07-05
458,m1712,19.11,2017-07-05
459,m1801,19.72,2017-07-05
460,m1803,19.72,2017-07-05
461,m1805,17.47,2017-07-05
462,m1708,20.22,2017-07-06
463,m1709,19.17,2017-07-06
464,m1711,18.29,2017-07-06
465,m1712,18.22,2017-07-06
466,m1801,19.69,2017-07-06
467,m1803,16.87,2017-07-06
468,m1805,17.76,2017-07-06
469,m1708,18.74,2017-07-07
470,m1709,18.74,2017-07-07
471,m1711,18.74,2017-07-07
472,m1712,19.85,2017-07-07
473,m1801,19.85,2017-07-07
474,m1803,17.86,2017-07-07
475,m1805,17.63,2017-07-07
476,m1709,20.5,2017-07-10
477,m1711,16.76,2017-07-10
478,m1712,16.52,2017-07-10
479,m1801,20.18,2017-07-10
480,m1803,17.37,2017-07-10
481,m1805,17.99,2017-07-10
482,m1709,21.63,2017-07-11
483,m1711,19.7,2017-07-11
484,m1712,19.01,2017-07-11
485,m1801,21.02,2017-07-11
486,m1803,18.99,2017-07-11
487,m1805,18.81,2017-07-11
488,m1709,22.04,2017-07-12
489,m1711,20.44,2017-07-12
490,m1712,18.73,2017-07-12
491,m1801,22.01,2017-07-12
492,m1803,19.78,2017-07-12
493,m1805,19.55,2017-07-12
494,m1709,22.86,2017-07-13
495,m1711,21.83,2017-07-13
496,m1712,20.85,2017-07-13
497,m1801,23.44,2017-07-13
498,m1803,20.2,2017-07-13
499,m1805,20.83,2017-07-13
500,m1709,22.63,2017-07-14
501,m1711,19.98,2017-07-14
502,m1712,20.34,2017-07-14
503,m1801,23.1,2017-07-14
504,m1803,19.84,2017-07-14
505,m1805,21.53,2017-07-14
506,m1709,22.56,2017-07-17
507,m1711,19.58,2017-07-17
508,m1712,20.3,2017-07-17
509,m1801,23.11,2017-07-17
510,m1803,23.11,2017-07-17
511,m1805,21.83,2017-07-17
512,m1709,23.33,2017-07-18
513,m1711,20.85,2017-07-18
514,m1712,21.14,2017-07-18
515,m1801,23.38,2017-07-18
516,m1803,20.16,2017-07-18
517,m1805,21.42,2017-07-18
518,m1709,21.53,2017-07-19
519,m1711,19.9,2017-07-19
520,m1712,21.38,2017-07-19
521,m1801,23.42,2017-07-19
522,m1803,20.73,2017-07-19
523,m1805,20.91,2017-07-19
524,m1709,18.41,2017-07-20
525,m1711,20.69,2017-07-20
526,m1712,21.56,2017-07-20
527,m1801,23.39,2017-07-20
528,m1803,20.54,2017-07-20
529,m1805,20.89,2017-07-20
530,m1709,17.45,2017-07-21
531,m1711,20.18,2017-07-21
532,m1712,21.22,2017-07-21
533,m1801,23.13,2017-07-21
534,m1803,21.04,2017-07-21
535,m1805,20.56,2017-07-21
536,m1709,18.24,2017-07-24
537,m1711,18.94,2017-07-24
538,m1712,20.44,2017-07-24
539,m1801,21.82,2017-07-24
540,m1803,20.58,2017-07-24
541,m1805,20.74,2017-07-24
542,m1709,19.63,2017-07-25
543,m1711,18.72,2017-07-25
544,m1712,21.29,2017-07-25
545,m1801,22.98,2017-07-25
546,m1803,22.98,2017-07-25
547,m1805,20.12,2017-07-25
548,m1807,19.95,2017-07-25
549,m1709,18.57,2017-07-26
550,m1711,20.44,2017-07-26
551,m1712,18.89,2017-07-26
552,m1801,22.79,2017-07-26
553,m1803,19.63,2017-07-26
554,m1805,20.39,2017-07-26
555,m1807,20.39,2017-07-26
556,m1709,18.96,2017-07-27
557,m1711,20.23,2017-07-27
558,m1712,20.74,2017-07-27
559,m1801,23.14,2017-07-27
560,m1803,23.14,2017-07-27
561,m1805,20.93,2017-07-27
562,m1807,20.85,2017-07-27
563,m1709,17.64,2017-07-28
564,m1711,18.6,2017-07-28
565,m1712,21.54,2017-07-28
566,m1801,23.18,2017-07-28
567,m1803,23.18,2017-07-28
568,m1805,20.39,2017-07-28
569,m1807,20.25,2017-07-28
570,m1709,19.44,2017-07-31
571,m1711,19.56,2017-07-31
572,m1712,18.01,2017-07-31
573,m1801,23.23,2017-07-31
574,m1803,23.23,2017-07-31
575,m1805,20.74,2017-07-31
576,m1807,20.74,2017-07-31
577,m1709,18.16,2017-08-01
578,m1711,19.32,2017-08-01
579,m1712,18.68,2017-08-01
580,m1801,22.87,2017-08-01
581,m1803,21.16,2017-08-01
582,m1805,20.03,2017-08-01
583,m1807,19.59,2017-08-01
584,m1709,18.02,2017-08-02
585,m1711,18.47,2017-08-02
586,m1712,18.55,2017-08-02
587,m1801,22.46,2017-08-02
588,m1803,19.18,2017-08-02
589,m1805,20.35,2017-08-02
590,m1807,19.83,2017-08-02
591,m1709,17.32,2017-08-03
592,m1711,18.81,2017-08-03
593,m1712,20.6,2017-08-03
594,m1801,21.93,2017-08-03
595,m1803,19.82,2017-08-03
596,m1805,20.63,2017-08-03
597,m1807,20.63,2017-08-03
598,m1709,13.51,2017-08-04
599,m1711,17.96,2017-08-04
600,m1712,21.79,2017-08-04
601,m1801,21.34,2017-08-04
602,m1803,19.19,2017-08-04
603,m1805,19.77,2017-08-04
604,m1807,19.77,2017-08-04
605,m1709,18.28,2017-08-07
606,m1711,18.28,2017-08-07
607,m1712,18.95,2017-08-07
608,m1801,21.14,2017-08-07
609,m1803,18.47,2017-08-07
610,m1805,19.66,2017-08-07
611,m1807,19.09,2017-08-07
612,m1711,17.8,2017-08-08
613,m1712,18.9,2017-08-08
614,m1801,19.88,2017-08-08
615,m1803,19.53,2017-08-08
616,m1805,19.13,2017-08-08
617,m1807,19,2017-08-08
618,m1711,19.14,2017-08-09
619,m1712,18.59,2017-08-09
620,m1801,19.95,2017-08-09
621,m1803,18.43,2017-08-09
622,m1805,19.01,2017-08-09
623,m1807,18.14,2017-08-09
624,m1711,18.09,2017-08-10
625,m1712,18.57,2017-08-10
626,m1801,20.24,2017-08-10
627,m1803,20.24,2017-08-10
628,m1805,19.17,2017-08-10
629,m1807,18.92,2017-08-10
630,m1711,19.83,2017-08-11
631,m1712,18.42,2017-08-11
632,m1801,20.35,2017-08-11
633,m1803,19.89,2017-08-11
634,m1805,18.74,2017-08-11
635,m1807,17.26,2017-08-11
636,m1711,16.46,2017-08-14
637,m1712,17.77,2017-08-14
638,m1801,19.99,2017-08-14
639,m1803,17.71,2017-08-14
640,m1805,18.11,2017-08-14
641,m1807,17.5,2017-08-14
642,m1711,17.59,2017-08-15
643,m1712,16.86,2017-08-15
644,m1801,19.74,2017-08-15
645,m1803,18.92,2017-08-15
646,m1805,18.35,2017-08-15
647,m1807,17.37,2017-08-15
648,m1711,16.88,2017-08-16
649,m1712,17.48,2017-08-16
650,m1801,19.02,2017-08-16
651,m1803,15.76,2017-08-16
652,m1805,17.34,2017-08-16
653,m1807,15.39,2017-08-16
654,m1808,16.18,2017-08-16
655,m1711,16.02,2017-08-17
656,m1712,17.05,2017-08-17
657,m1801,19.28,2017-08-17
658,m1803,16.83,2017-08-17
659,m1805,18.49,2017-08-17
660,m1807,15.88,2017-08-17
661,m1808,15.88,2017-08-17
662,m1711,15.16,2017-08-18
663,m1712,16.88,2017-08-18
664,m1801,18.46,2017-08-18
665,m1803,17.92,2017-08-18
666,m1805,17.21,2017-08-18
667,m1807,18.55,2017-08-18
668,m1808,18.55,2017-08-18
669,m1711,15.9,2017-08-21
670,m1712,15.79,2017-08-21
671,m1801,18.09,2017-08-21
672,m1803,16.15,2017-08-21
673,m1805,17.45,2017-08-21
674,m1807,16.4,2017-08-21
675,m1808,16.37,2017-08-21
676,m1711,15.56,2017-08-22
677,m1712,15.58,2017-08-22
678,m1801,18.29,2017-08-22
679,m1803,16.46,2017-08-22
680,m1805,17.69,2017-08-22
681,m1807,17.9,2017-08-22
682,m1808,17.18,2017-08-22
683,m1711,14.74,2017-08-23
684,m1712,14.43,2017-08-23
685,m1801,18.27,2017-08-23
686,m1803,16.8,2017-08-23
687,m1805,17.11,2017-08-23
688,m1807,18.9,2017-08-23
689,m1808,15.81,2017-08-23
690,m1711,14.25,2017-08-24
691,m1712,15.4,2017-08-24
692,m1801,18.39,2017-08-24
693,m1803,14.78,2017-08-24
694,m1805,17.65,2017-08-24
695,m1807,17.66,2017-08-24
696,m1808,16.01,2017-08-24
697,m1711,14.58,2017-08-25
698,m1712,15.2,2017-08-25
699,m1801,18.26,2017-08-25
700,m1803,16.06,2017-08-25
701,m1805,16.85,2017-08-25
702,m1807,15.42,2017-08-25
703,m1808,15.31,2017-08-25
704,m1711,14.5,2017-08-28
705,m1712,15.67,2017-08-28
706,m1801,17.31,2017-08-28
707,m1803,15.33,2017-08-28
708,m1805,17.07,2017-08-28
709,m1807,15.22,2017-08-28
710,m1808,15.38,2017-08-28
711,m1711,14.03,2017-08-29
712,m1712,15.1,2017-08-29
713,m1801,18.24,2017-08-29
714,m1803,16.93,2017-08-29
715,m1805,16.94,2017-08-29
716,m1807,18.16,2017-08-29
717,m1808,17.77,2017-08-29
718,m1711,13.95,2017-08-30
719,m1712,14.41,2017-08-30
720,m1801,17.12,2017-08-30
721,m1803,16.15,2017-08-30
722,m1805,16.3,2017-08-30
723,m1807,18.49,2017-08-30
724,m1808,18.01,2017-08-30
725,m1711,13.11,2017-08-31
726,m1712,12.42,2017-08-31
727,m1801,17.12,2017-08-31
728,m1803,16.63,2017-08-31
729,m1805,16.9,2017-08-31
730,m1807,18.91,2017-08-31
731,m1808,18.91,2017-08-31
732,m1711,13.48,2017-09-01
733,m1712,17.02,2017-09-01
734,m1801,17.41,2017-09-01
735,m1803,16.71,2017-09-01
736,m1805,17.9,2017-09-01
737,m1807,14.15,2017-09-01
738,m1808,17.41,2017-09-01
739,m1711,13.72,2017-09-04
740,m1712,12.94,2017-09-04
741,m1801,18.11,2017-09-04
742,m1803,17.07,2017-09-04
743,m1805,17.88,2017-09-04
744,m1807,16.51,2017-09-04
745,m1808,17.09,2017-09-04
746,m1711,13.23,2017-09-05
747,m1712,16.49,2017-09-05
748,m1801,18.87,2017-09-05
749,m1803,16.3,2017-09-05
750,m1805,18.74,2017-09-05
751,m1807,18.74,2017-09-05
752,m1808,17.79,2017-09-05
753,m1711,13.98,2017-09-06
754,m1712,16.66,2017-09-06
755,m1801,18.15,2017-09-06
756,m1803,18.34,2017-09-06
757,m1805,18.39,2017-09-06
758,m1807,17.42,2017-09-06
759,m1808,17.2,2017-09-06
760,m1711,13.6,2017-09-07
761,m1712,13.35,2017-09-07
762,m1801,18.66,2017-09-07
763,m1803,16.85,2017-09-07
764,m1805,18.41,2017-09-07
765,m1807,18.41,2017-09-07
766,m1808,17.38,2017-09-07
767,m1711,13.98,2017-09-08
768,m1712,13.48,2017-09-08
769,m1801,18.65,2017-09-08
770,m1803,16.85,2017-09-08
771,m1805,18.29,2017-09-08
772,m1807,16.77,2017-09-08
773,m1808,17.14,2017-09-08
774,m1711,12.93,2017-09-11
775,m1712,14.5,2017-09-11
776,m1801,19.35,2017-09-11
777,m1803,14.99,2017-09-11
778,m1805,18.01,2017-09-11
779,m1807,16.45,2017-09-11
780,m1808,16.35,2017-09-11
781,m1711,14.34,2017-09-12
782,m1712,17.43,2017-09-12
783,m1801,19.25,2017-09-12
784,m1803,16.19,2017-09-12
785,m1805,18.98,2017-09-12
786,m1807,17.85,2017-09-12
787,m1808,17.85,2017-09-12
788,m1711,14.05,2017-09-13
789,m1712,16.36,2017-09-13
790,m1801,18.57,2017-09-13
791,m1803,16.75,2017-09-13
792,m1805,17.54,2017-09-13
793,m1807,18.6,2017-09-13
794,m1808,15.08,2017-09-13
795,m1711,15.18,2017-09-14
796,m1712,13.71,2017-09-14
797,m1801,18.38,2017-09-14
798,m1803,15.48,2017-09-14
799,m1805,17.12,2017-09-14
800,m1807,14.29,2017-09-14
801,m1808,15.19,2017-09-14
802,m1711,11.99,2017-09-15
803,m1712,12.38,2017-09-15
804,m1801,18.63,2017-09-15
805,m1803,18.41,2017-09-15
806,m1805,17.36,2017-09-15
807,m1807,17.36,2017-09-15
808,m1808,15.32,2017-09-15
809,m1711,12.62,2017-09-18
810,m1712,13.59,2017-09-18
811,m1801,18.57,2017-09-18
812,m1803,17.1,2017-09-18
813,m1805,17.3,2017-09-18
814,m1807,15.75,2017-09-18
815,m1808,15.65,2017-09-18
816,m1809,15.64,2017-09-18
817,m1711,12.94,2017-09-19
818,m1712,12.82,2017-09-19
819,m1801,17.67,2017-09-19
820,m1803,16.16,2017-09-19
821,m1805,15.97,2017-09-19
