,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
105,al2011                        ,591,2920,52,32.1265,0,0.154936,2020-09-15
106,al2012                        ,6,85,6,0.1265,0,0.163567,2020-09-15
107,al2101                        ,0,134,0,0.0,0,0.163567,2020-09-15
108,al2010                        ,2212,9645,-137,89.6345,1,0.177381,2020-09-16
109,al2011                        ,1263,3220,300,84.164,0,0.156474,2020-09-16
110,al2012                        ,13,97,12,1.152,0,0.151349,2020-09-16
111,al2101                        ,2,136,2,0.0775,0,0.167676,2020-09-16
112,al2010                        ,2921,9733,88,149.916,59,0.165568,2020-09-17
113,al2011                        ,1105,3192,-28,76.293,0,0.15553,2020-09-17
114,al2012                        ,500,384,287,37.98,0,0.154194,2020-09-17
115,al2101                        ,7,143,7,0.2875,0,0.166345,2020-09-17
116,al2010                        ,4340,9473,-260,234.398,0,0.162662,2020-09-18
117,al2011                        ,804,3387,195,76.6335,0,0.153376,2020-09-18
118,al2012                        ,93,442,58,18.6475,0,0.160394,2020-09-18
119,al2101                        ,3,144,1,0.1285,0,0.175983,2020-09-18
120,al2010                        ,3010,9479,6,103.8265,0,0.194241,2020-09-21
121,al2011                        ,1001,3376,-11,79.5865,0,0.148347,2020-09-21
122,al2012                        ,26,453,11,3.4695,0,0.157259,2020-09-21
123,al2101                        ,1,145,1,0.03,0,0.173407,2020-09-21
124,al2010                        ,2526,9321,-158,65.6605,0,0.209916,2020-09-22
125,al2011                        ,985,3596,220,46.6955,0,0.154847,2020-09-22
126,al2012                        ,92,484,31,4.7825,0,0.163648,2020-09-22
127,al2101                        ,6,148,3,0.22,0,0.18047,2020-09-22
128,al2010                        ,5065,8987,-334,370.526,309,0.181101,2020-09-23
129,al2011                        ,1608,3810,214,140.497,0,0.156521,2020-09-23
130,al2012                        ,182,486,2,15.3275,0,0.164596,2020-09-23
131,al2101                        ,0,148,0,0.0,0,0.164596,2020-09-23
132,al2010                        ,9549,0,-8987,605.928,2098,0.22018,2020-09-24
133,al2011                        ,5553,4949,1139,548.65,0,0.172664,2020-09-24
134,al2012                        ,1067,805,319,108.6685,0,0.171231,2020-09-24
135,al2101                        ,25,172,24,0.9855,0,0.177207,2020-09-24
136,al2011                        ,6446,5944,995,492.8605,0,0.198661,2020-09-25
137,al2012                        ,802,1052,247,120.078,0,0.188706,2020-09-25
138,al2101                        ,4,174,2,0.0785,0,0.198141,2020-09-25
139,al2102                        ,0,0,0,0.0,0,0.198141,2020-09-25
140,al2011                        ,6365,7468,1524,471.414,0,0.230515,2020-09-28
141,al2012                        ,1426,1726,674,108.381,0,0.227287,2020-09-28
142,al2101                        ,32,178,4,2.145,0,0.196552,2020-09-28
143,al2102                        ,20,18,18,1.3865,0,0.19676,2020-09-28
144,al2011                        ,4457,8082,614,328.523,0,0.260164,2020-09-29
145,al2012                        ,729,1857,131,83.563,0,0.260807,2020-09-29
146,al2101                        ,76,205,27,7.297,0,0.209976,2020-09-29
147,al2102                        ,20,36,18,1.324,0,0.217082,2020-09-29
148,al2011                        ,2606,8074,-8,181.369,0,0.256677,2020-09-30
149,al2012                        ,691,2135,278,87.698,0,0.231541,2020-09-30
150,al2101                        ,3,208,3,0.0955,0,0.232831,2020-09-30
151,al2102                        ,3,39,3,0.142,0,0.227327,2020-09-30
152,al2011                        ,4334,6889,-1185,119.7665,0,0.251177,2020-10-09
153,al2012                        ,567,2271,136,43.127,0,0.246624,2020-10-09
154,al2101                        ,31,218,10,2.722,0,0.216424,2020-10-09
155,al2102                        ,2,41,2,0.0735,0,0.235775,2020-10-09
156,al2011                        ,3386,6743,-146,134.1605,0,0.211066,2020-10-12
157,al2012                        ,720,2152,-119,57.9705,0,0.216001,2020-10-12
158,al2101                        ,43,255,37,1.7775,0,0.208123,2020-10-12
159,al2102                        ,16,57,16,2.072,0,0.189874,2020-10-12
160,al2011                        ,3242,7005,262,165.3345,0,0.210766,2020-10-13
161,al2012                        ,726,2229,77,53.6365,0,0.204233,2020-10-13
162,al2101                        ,4,259,4,0.4855,0,0.188319,2020-10-13
163,al2102                        ,10,66,9,1.257,0,0.189064,2020-10-13
164,al2011                        ,4079,7425,420,239.953,0,0.198699,2020-10-14
165,al2012                        ,1005,2345,116,99.3535,0,0.192395,2020-10-14
166,al2101                        ,1,260,1,0.0945,0,0.192774,2020-10-14
167,al2102                        ,5,71,5,0.2525,0,0.211828,2020-10-14
168,al2011                        ,2135,7626,201,78.4465,0,0.205354,2020-10-15
169,al2012                        ,476,2526,181,31.7215,0,0.194957,2020-10-15
170,al2101                        ,11,264,4,0.175,0,0.167725,2020-10-15
171,al2102                        ,5,75,4,0.2,0,0.218425,2020-10-15
172,al2011                        ,4027,8024,398,217.43,0,0.203302,2020-10-16
173,al2012                        ,620,2588,62,49.9075,0,0.194044,2020-10-16
174,al2101                        ,134,305,41,8.9555,0,0.189901,2020-10-16
175,al2102                        ,52,124,49,16.5485,0,0.204484,2020-10-16
176,al2103                        ,6,6,6,0.59,0,0.171518,2020-10-16
177,al2011                        ,7422,8502,478,300.6585,0,0.237205,2020-10-19
178,al2012                        ,1270,2864,276,98.988,0,0.194946,2020-10-19
179,al2101                        ,42,335,30,2.9765,0,0.19559,2020-10-19
180,al2102                        ,11,135,11,0.263,0,0.238147,2020-10-19
181,al2103                        ,0,6,0,0.0,0,0.238147,2020-10-19
182,al2011                        ,4879,8647,145,144.6035,0,0.210316,2020-10-20
183,al2012                        ,921,3192,328,50.1535,0,0.194333,2020-10-20
184,al2101                        ,65,353,18,5.0245,0,0.200505,2020-10-20
185,al2102                        ,9,144,9,0.213,0,0.237843,2020-10-20
186,al2103                        ,0,6,0,0.0,0,0.237843,2020-10-20
187,al2011                        ,6813,8753,106,291.534,0,0.168017,2020-10-21
188,al2012                        ,2088,3851,659,106.333,0,0.189376,2020-10-21
189,al2101                        ,285,585,232,19.5505,0,0.190377,2020-10-21
190,al2102                        ,1,145,1,0.0195,0,0.237064,2020-10-21
191,al2103                        ,0,6,0,0.0,0,0.237064,2020-10-21
192,al2011                        ,5110,8954,201,235.8235,20,0.181904,2020-10-22
193,al2012                        ,1372,4124,273,66.0725,0,0.183013,2020-10-22
194,al2101                        ,67,619,34,8.9145,0,0.17684,2020-10-22
195,al2102                        ,0,145,0,0.0,0,0.17684,2020-10-22
196,al2103                        ,0,6,0,0.0,0,0.17684,2020-10-22
197,al2011                        ,4335,9023,69,65.758,9,0.162559,2020-10-23
198,al2012                        ,1193,4452,328,47.3955,0,0.167428,2020-10-23
199,al2101                        ,564,977,358,34.367,0,0.168535,2020-10-23
200,al2102                        ,14,159,14,1.812,0,0.170569,2020-10-23
201,al2103                        ,0,6,0,0.0,0,0.170569,2020-10-23
202,al2011                        ,3867,0,-9023,110.104,1175,0.144861,2020-10-26
203,al2012                        ,1786,4999,547,74.8555,0,0.166986,2020-10-26
204,al2101                        ,531,1363,386,26.686,0,0.162164,2020-10-26
205,al2102                        ,1,160,1,0.095,0,0.160688,2020-10-26
206,al2103                        ,6,12,6,0.642,0,0.15857,2020-10-26
207,al2012                        ,4161,5669,670,126.938,0,0.163106,2020-10-27
208,al2101                        ,520,1608,245,25.9645,0,0.155582,2020-10-27
209,al2102                        ,5,165,5,0.0435,0,0.206442,2020-10-27
210,al2103                        ,11,23,11,0.9605,0,0.152634,2020-10-27
211,al2012                        ,7838,6392,723,451.324,0,0.162404,2020-10-28
212,al2101                        ,1654,2122,514,190.5135,0,0.150892,2020-10-28
213,al2102                        ,10,175,10,0.106,0,0.201967,2020-10-28
214,al2103                        ,0,23,0,0.0,0,0.201967,2020-10-28
215,al2012                        ,6850,6427,35,330.2225,0,0.170922,2020-10-29
216,al2101                        ,1908,2759,637,185.73,0,0.164954,2020-10-29
217,al2102                        ,466,614,439,50.808,0,0.184056,2020-10-29
218,al2103                        ,88,88,65,15.0835,0,0.174313,2020-10-29
219,al2012                        ,5427,6953,526,173.886,0,0.180632,2020-10-30
220,al2101                        ,680,2767,8,53.6985,0,0.177464,2020-10-30
221,al2102                        ,44,644,30,5.346,0,0.210936,2020-10-30
222,al2103                        ,80,165,77,15.7305,0,0.183674,2020-10-30
223,al2012                        ,11184,8090,1137,799.999,0,0.194087,2020-11-02
224,al2101                        ,2737,3398,631,326.2215,0,0.185433,2020-11-02
225,al2102                        ,10,650,6,0.35,0,0.231065,2020-11-02
226,al2103                        ,5,167,2,1.093,0,0.1939,2020-11-02
227,al2012                        ,8066,8853,763,535.374,0,0.204264,2020-11-03
228,al2101                        ,1357,3715,317,142.0065,0,0.186847,2020-11-03
229,al2102                        ,11,658,8,1.345,0,0.213015,2020-11-03
230,al2103                        ,16,176,9,2.828,0,0.192465,2020-11-03
231,al2012                        ,7166,8853,0,388.189,0,0.199809,2020-11-04
232,al2101                        ,1644,4051,336,197.633,0,0.174607,2020-11-04
233,al2102                        ,6,662,4,0.5645,0,0.177684,2020-11-04
234,al2103                        ,10,184,8,2.633,0,0.193686,2020-11-04
235,al2012                        ,6301,9272,419,207.2605,0,0.181202,2020-11-05
236,al2101                        ,1887,4148,97,102.44,0,0.166669,2020-11-05
237,al2102                        ,14,675,13,0.9345,0,0.172367,2020-11-05
238,al2103                        ,24,204,20,2.147,0,0.172926,2020-11-05
239,al2012                        ,4952,9514,242,156.4655,0,0.182181,2020-11-06
240,al2101                        ,749,4286,138,50.736,0,0.163565,2020-11-06
241,al2102                        ,5,678,3,0.113,0,0.215217,2020-11-06
242,al2103                        ,9,209,5,0.2965,0,0.181752,2020-11-06
243,al2012                        ,7424,10502,988,430.279,0,0.182082,2020-11-09
244,al2101                        ,1760,4645,359,190.839,0,0.163328,2020-11-09
245,al2102                        ,18,689,11,0.4215,0,0.212076,2020-11-09
246,al2103                        ,2,210,1,0.1295,0,0.198369,2020-11-09
247,al2012                        ,10169,10540,38,461.509,0,0.195044,2020-11-10
248,al2101                        ,2947,4789,144,265.528,0,0.164011,2020-11-10
249,al2102                        ,10,692,3,0.5205,0,0.173052,2020-11-10
250,al2103                        ,0,210,0,0.0,0,0.173052,2020-11-10
251,al2012                        ,8272,11056,516,469.937,0,0.186047,2020-11-11
252,al2101                        ,2771,5320,531,370.702,0,0.161299,2020-11-11
253,al2102                        ,15,706,14,0.5865,0,0.218628,2020-11-11
254,al2103                        ,4,214,4,0.1,0,0.174719,2020-11-11
255,al2012                        ,10861,11300,244,527.703,0,0.194828,2020-11-12
256,al2101                        ,2539,5528,208,178.68,0,0.175983,2020-11-12
257,al2102                        ,13,714,8,1.692,0,0.175342,2020-11-12
258,al2103                        ,0,214,0,0.0,0,0.175342,2020-11-12
259,al2012                        ,11689,11729,429,831.541,0,0.181049,2020-11-13
260,al2101                        ,4866,5841,313,363.4535,0,0.184287,2020-11-13
261,al2102                        ,15,728,14,0.886,0,0.184795,2020-11-13
262,al2103                        ,18,216,2,2.3465,0,0.16413,2020-11-13
263,al2012                        ,10589,12279,550,592.12,34,0.191734,2020-11-16
264,al2101                        ,5188,6442,601,324.0125,0,0.193289,2020-11-16
265,al2102                        ,11,739,11,0.5925,0,0.178453,2020-11-16
266,al2103                        ,10,220,4,1.0115,0,0.163654,2020-11-16
267,al2012                        ,5838,12496,217,242.5785,18,0.192717,2020-11-17
268,al2101                        ,2784,6479,37,139.0105,0,0.185985,2020-11-17
269,al2102                        ,457,1092,353,46.4995,0,0.17187,2020-11-17
270,al2103                        ,1,221,1,0.0525,0,0.174611,2020-11-17
271,al2012                        ,9981,12290,-206,747.8175,15,0.196819,2020-11-18
272,al2101                        ,6032,6449,-30,313.1365,0,0.194132,2020-11-18
273,al2102                        ,350,1323,231,48.5775,0,0.177877,2020-11-18
274,al2103                        ,9,226,5,0.799,0,0.178747,2020-11-18
275,al2104                        ,0,0,0,0.0,0,0.178747,2020-11-18
276,al2012                        ,11452,12556,266,816.9445,11,0.20918,2020-11-19
277,al2101                        ,7033,7646,1197,636.334,0,0.206868,2020-11-19
278,al2102                        ,1001,1713,390,208.389,0,0.184696,2020-11-19
279,al2103                        ,8,234,8,0.754,0,0.181937,2020-11-19
280,al2104                        ,7,7,7,0.6285,0,0.18867,2020-11-19
281,al2012                        ,8811,11525,-1031,520.6645,1075,0.183938,2020-11-20
282,al2101                        ,4263,8340,694,338.049,0,0.19891,2020-11-20
283,al2102                        ,745,2137,424,109.623,0,0.175997,2020-11-20
284,al2103                        ,44,260,26,6.922,0,0.175921,2020-11-20
285,al2104                        ,15,22,15,1.8815,0,0.179653,2020-11-20
286,al2012                        ,8417,11589,64,503.455,252,0.232024,2020-11-23
287,al2101                        ,4149,8427,87,347.2435,0,0.203778,2020-11-23
288,al2102                        ,894,2188,51,136.7885,0,0.18217,2020-11-23
289,al2103                        ,7,266,6,1.423,0,0.181965,2020-11-23
290,al2104                        ,8,30,8,0.7095,0,0.184237,2020-11-23
291,al2012                        ,6794,0,-11589,363.117,2830,0.168273,2020-11-24
292,al2101                        ,3220,8365,-62,230.565,0,0.197526,2020-11-24
293,al2102                        ,1033,2392,204,100.212,0,0.18472,2020-11-24
294,al2103                        ,11,267,1,0.3215,0,0.201315,2020-11-24
295,al2104                        ,4,34,4,0.813,0,0.168494,2020-11-24
296,al2101                        ,8527,9322,957,899.2255,0,0.192413,2020-11-25
297,al2102                        ,2091,2636,244,184.74,0,0.182332,2020-11-25
298,al2103                        ,46,291,24,6.3845,0,0.182447,2020-11-25
299,al2104                        ,15,46,12,2.332,0,0.172303,2020-11-25
300,al2101                        ,5207,9773,451,348.857,0,0.190107,2020-11-26
301,al2102                        ,636,2738,102,95.2215,0,0.174808,2020-11-26
302,al2103                        ,45,310,19,3.3465,0,0.193864,2020-11-26
303,al2104                        ,0,46,0,0.0,0,0.193864,2020-11-26
304,al2101                        ,9220,10004,231,781.075,12,0.187061,2020-11-27
305,al2102                        ,1635,2662,-76,162.3435,0,0.181397,2020-11-27
306,al2103                        ,15,321,11,0.203,0,0.233385,2020-11-27
307,al2104                        ,3,46,0,0.0935,0,0.191923,2020-11-27
308,al2101                        ,18631,12122,2118,2287.917,13,0.206737,2020-11-30
309,al2102                        ,4294,3105,443,481.6675,0,0.191278,2020-11-30
310,al2103                        ,66,369,48,2.4445,0,0.230042,2020-11-30
311,al2104                        ,0,46,0,0.0,0,0.230042,2020-11-30
312,al2101                        ,16314,13871,1749,2239.3965,0,0.223389,2020-12-01
313,al2102                        ,2053,3717,612,283.4935,0,0.197136,2020-12-01
314,al2103                        ,45,394,25,0.948,0,0.25945,2020-12-01
315,al2104                        ,0,46,0,0.0,0,0.25945,2020-12-01
316,al2101                        ,13400,14880,1009,1640.9685,15,0.22601,2020-12-02
317,al2102                        ,3812,4390,673,610.4685,0,0.198362,2020-12-02
318,al2103                        ,15,399,5,0.8245,0,0.21891,2020-12-02
319,al2104                        ,9,45,-1,0.256,0,0.21501,2020-12-02
320,al2101                        ,18745,13506,-1374,1865.338,0,0.216999,2020-12-03
321,al2102                        ,2741,4752,362,403.073,2,0.198551,2020-12-03
322,al2103                        ,4,402,3,0.177,0,0.226442,2020-12-03
323,al2104                        ,0,45,0,0.0,0,0.226442,2020-12-03
324,al2101                        ,14611,14472,966,1487.206,0,0.215522,2020-12-04
325,al2102                        ,2479,4835,83,334.6915,0,0.20171,2020-12-04
326,al2103                        ,7,403,1,0.427,0,0.218132,2020-12-04
327,al2104                        ,2,46,1,0.0655,0,0.204857,2020-12-04
328,al2101                        ,13582,14568,96,1294.729,0,0.226874,2020-12-07
329,al2102                        ,1650,5029,194,217.784,0,0.197972,2020-12-07
330,al2103                        ,0,403,0,0.0,0,0.197972,2020-12-07
331,al2104                        ,0,46,0,0.0,0,0.197972,2020-12-07
332,al2101                        ,10376,14972,404,776.549,22,0.218203,2020-12-08
333,al2102                        ,1266,5290,261,188.1375,0,0.183874,2020-12-08
334,al2103                        ,14,415,12,10.8055,0,0.20978,2020-12-08
335,al2104                        ,0,46,0,0.0,0,0.20978,2020-12-08
336,al2101                        ,12826,15570,598,943.7675,0,0.211648,2020-12-09
337,al2102                        ,1740,5292,2,204.873,0,0.185225,2020-12-09
338,al2103                        ,6,415,0,0.5015,0,0.189784,2020-12-09
339,al2104                        ,7,49,3,0.643,0,0.178651,2020-12-09
340,al2101                        ,14246,15773,203,1043.883,0,0.221263,2020-12-10
341,al2102                        ,2772,5533,241,255.763,0,0.195948,2020-12-10
342,al2103                        ,3,418,3,0.131,0,0.217854,2020-12-10
343,al2104                        ,13,62,13,1.0155,0,0.206501,2020-12-10
344,al2101                        ,18297,16295,522,1639.403,0,0.247563,2020-12-11
345,al2102                        ,4064,5610,77,612.433,0,0.225227,2020-12-11
346,al2103                        ,83,468,50,11.4905,0,0.219201,2020-12-11
347,al2104                        ,32,87,25,3.9025,0,0.224679,2020-12-11
348,al2101                        ,13985,16613,318,1042.1795,0,0.264133,2020-12-14
349,al2102                        ,2493,5921,311,325.6025,0,0.234414,2020-12-14
350,al2103                        ,13,480,12,0.9715,0,0.234481,2020-12-14
351,al2104                        ,1,88,1,0.0865,0,0.226614,2020-12-14
352,al2101                        ,8531,16826,213,559.279,0,0.250003,2020-12-15
353,al2102                        ,1238,5915,-6,123.135,0,0.222599,2020-12-15
354,al2103                        ,32,507,27,2.256,0,0.226824,2020-12-15
355,al2104                        ,7,91,3,0.598,0,0.209014,2020-12-15
356,al2101                        ,8565,16746,-80,489.9405,64,0.250725,2020-12-16
357,al2102                        ,1358,6212,297,151.0665,0,0.214741,2020-12-16
358,al2103                        ,324,705,198,62.706,0,0.211897,2020-12-16
359,al2104                        ,0,91,0,0.0,0,0.211897,2020-12-16
360,al2101                        ,9192,16774,28,703.7685,0,0.241105,2020-12-17
361,al2102                        ,1286,6230,18,150.267,0,0.208779,2020-12-17
362,al2103                        ,276,868,163,33.224,0,0.212187,2020-12-17
363,al2104                        ,2,93,2,0.055,0,0.223089,2020-12-17
364,al2101                        ,15056,17046,272,1189.8355,110,0.24061,2020-12-18
365,al2102                        ,2573,6396,166,381.0945,0,0.208524,2020-12-18
366,al2103                        ,459,1077,209,111.4965,0,0.201789,2020-12-18
367,al2104                        ,4,95,2,0.1015,0,0.225426,2020-12-18
368,al2101                        ,13038,17134,88,699.2225,87,0.274684,2020-12-21
369,al2102                        ,2219,6755,359,280.986,0,0.213448,2020-12-21
370,al2103                        ,313,1145,68,37.6525,0,0.204233,2020-12-21
371,al2104                        ,19,105,10,1.209,0,0.212438,2020-12-21
372,al2101                        ,12384,15870,-1264,762.123,0,0.290006,2020-12-22
373,al2102                        ,3670,7067,312,423.058,0,0.21772,2020-12-22
374,al2103                        ,451,1360,215,87.5045,0,0.207293,2020-12-22
375,al2104                        ,0,105,0,0.0,0,0.207293,2020-12-22
376,al2105                        ,0,0,0,0.0,0,0.207293,2020-12-22
377,al2101                        ,8254,15532,-338,481.142,0,0.285604,2020-12-23
378,al2102                        ,3690,7991,924,353.7545,0,0.222954,2020-12-23
379,al2103                        ,447,1547,187,60.861,0,0.205536,2020-12-23
380,al2104                        ,6,111,6,0.4745,0,0.22494,2020-12-23
381,al2105                        ,2,1,1,0.231,0,0.200241,2020-12-23
382,al2101                        ,8867,15143,-389,466.0145,96,0.292738,2020-12-24
383,al2102                        ,2849,8587,596,254.158,0,0.211549,2020-12-24
384,al2103                        ,764,1862,315,88.1155,0,0.208616,2020-12-24
385,al2104                        ,3,114,3,0.2235,0,0.232735,2020-12-24
386,al2105                        ,2,3,2,0.2055,0,0.20245,2020-12-24
387,al2101                        ,5748,0,-15143,266.565,3102,0.149817,2020-12-25
388,al2102                        ,1950,8931,344,149.428,0,0.218626,2020-12-25
389,al2103                        ,340,1928,66,32.387,0,0.208092,2020-12-25
390,al2104                        ,5,119,5,0.3525,0,0.225729,2020-12-25
391,al2105                        ,0,3,0,0.0,0,0.225729,2020-12-25
392,al2102                        ,8907,9666,735,820.697,0,0.225424,2020-12-28
393,al2103                        ,2338,2330,402,389.841,0,0.20846,2020-12-28
394,al2104                        ,8,127,8,0.4255,0,0.213786,2020-12-28
395,al2105                        ,2,5,2,0.1445,0,0.186381,2020-12-28
396,al2102                        ,17222,10344,678,1562.1055,0,0.230188,2020-12-29
397,al2103                        ,2510,2850,520,392.768,0,0.213504,2020-12-29
398,al2104                        ,116,239,112,7.874,0,0.229217,2020-12-29
399,al2105                        ,5,10,5,0.6,0,0.200819,2020-12-29
400,al2102                        ,10234,10700,356,826.3305,0,0.223517,2020-12-30
401,al2103                        ,1830,2818,-32,215.4625,0,0.210758,2020-12-30
402,al2104                        ,36,275,36,1.6,0,0.240593,2020-12-30
