,合约系列,隐含波动率(%),date
75,i2006,23.4,2019-12-18
76,i2007,23.4,2019-12-18
77,i2008,25.6,2019-12-18
78,i2009,22.9,2019-12-18
79,i2010,25.05,2019-12-18
80,i2011,23.98,2019-12-18
81,i2012,24.42,2019-12-18
82,i2002,24.54,2019-12-19
83,i2003,22.32,2019-12-19
84,i2004,22.88,2019-12-19
85,i2005,23.13,2019-12-19
86,i2006,24,2019-12-19
87,i2007,24,2019-12-19
88,i2008,20.46,2019-12-19
89,i2009,22.9,2019-12-19
90,i2010,23.85,2019-12-19
91,i2011,23.12,2019-12-19
92,i2012,23.57,2019-12-19
93,i2002,22.95,2019-12-20
94,i2003,23.01,2019-12-20
95,i2004,25.03,2019-12-20
96,i2005,22.86,2019-12-20
97,i2006,23.77,2019-12-20
98,i2007,23.17,2019-12-20
99,i2008,23.59,2019-12-20
100,i2009,22.73,2019-12-20
101,i2010,22.62,2019-12-20
102,i2011,23.15,2019-12-20
103,i2012,23.14,2019-12-20
104,i2002,25.17,2019-12-23
105,i2003,22.1,2019-12-23
106,i2004,23.58,2019-12-23
107,i2005,22.99,2019-12-23
108,i2006,24.25,2019-12-23
109,i2007,21.8,2019-12-23
110,i2008,21.8,2019-12-23
111,i2009,22.95,2019-12-23
112,i2010,23.43,2019-12-23
113,i2011,23.66,2019-12-23
114,i2012,23.66,2019-12-23
115,i2002,23.73,2019-12-24
116,i2003,23.04,2019-12-24
117,i2004,23.04,2019-12-24
118,i2005,23.42,2019-12-24
119,i2006,23.42,2019-12-24
120,i2007,23.42,2019-12-24
121,i2008,23.14,2019-12-24
122,i2009,23.14,2019-12-24
123,i2010,23.14,2019-12-24
124,i2011,23.24,2019-12-24
125,i2012,23.24,2019-12-24
126,i2002,24.38,2019-12-25
127,i2003,23.87,2019-12-25
128,i2004,23,2019-12-25
129,i2005,23.18,2019-12-25
130,i2006,23.18,2019-12-25
131,i2007,23.18,2019-12-25
132,i2008,22.83,2019-12-25
133,i2009,22.83,2019-12-25
134,i2010,22.83,2019-12-25
135,i2011,23.55,2019-12-25
136,i2012,23.14,2019-12-25
137,i2002,22.67,2019-12-26
138,i2003,22.82,2019-12-26
139,i2004,22.82,2019-12-26
140,i2005,23.48,2019-12-26
141,i2006,23.48,2019-12-26
142,i2007,23.48,2019-12-26
143,i2008,23.06,2019-12-26
144,i2009,23.06,2019-12-26
145,i2010,23.06,2019-12-26
146,i2011,22.97,2019-12-26
147,i2012,23.93,2019-12-26
148,i2002,22.47,2019-12-27
149,i2003,22.47,2019-12-27
150,i2004,21.4,2019-12-27
151,i2005,23.34,2019-12-27
152,i2006,23.34,2019-12-27
153,i2007,23.34,2019-12-27
154,i2008,23.65,2019-12-27
155,i2009,23.65,2019-12-27
156,i2010,22.83,2019-12-27
157,i2011,22.87,2019-12-27
158,i2012,23.53,2019-12-27
159,i2002,23.08,2019-12-30
160,i2003,26.83,2019-12-30
161,i2004,22.79,2019-12-30
162,i2005,23.52,2019-12-30
163,i2006,23.52,2019-12-30
164,i2007,23.52,2019-12-30
165,i2008,23.87,2019-12-30
166,i2009,23.87,2019-12-30
167,i2010,23.87,2019-12-30
168,i2011,22.27,2019-12-30
169,i2012,23.32,2019-12-30
170,i2002,21.72,2019-12-31
171,i2003,23.45,2019-12-31
172,i2004,23.28,2019-12-31
173,i2005,23.64,2019-12-31
174,i2006,23.64,2019-12-31
175,i2007,23.64,2019-12-31
176,i2008,23.4,2019-12-31
177,i2009,23.4,2019-12-31
178,i2010,23.4,2019-12-31
179,i2011,23.08,2019-12-31
180,i2012,23.08,2019-12-31
181,i2002,23.6,2020-01-02
182,i2003,24.84,2020-01-02
183,i2004,24.84,2020-01-02
184,i2005,24.62,2020-01-02
185,i2006,24.62,2020-01-02
186,i2007,25.72,2020-01-02
187,i2008,25.72,2020-01-02
188,i2009,23.58,2020-01-02
189,i2010,23.62,2020-01-02
190,i2011,23.59,2020-01-02
191,i2012,31.05,2020-01-02
192,i2002,26.76,2020-01-03
193,i2003,22.19,2020-01-03
194,i2004,25.58,2020-01-03
195,i2005,23.9,2020-01-03
196,i2006,23.9,2020-01-03
197,i2007,23.9,2020-01-03
198,i2008,23.26,2020-01-03
199,i2009,23.26,2020-01-03
200,i2010,24.82,2020-01-03
201,i2011,23.81,2020-01-03
202,i2012,25.45,2020-01-03
203,i2002,29.91,2020-01-06
204,i2003,23.49,2020-01-06
205,i2004,23.49,2020-01-06
206,i2005,23.46,2020-01-06
207,i2006,24.65,2020-01-06
208,i2007,22.9,2020-01-06
209,i2008,22.9,2020-01-06
210,i2009,23.38,2020-01-06
211,i2010,23.87,2020-01-06
212,i2011,23.21,2020-01-06
213,i2012,25.16,2020-01-06
214,i2002,30.5,2020-01-07
215,i2003,22.35,2020-01-07
216,i2004,23.67,2020-01-07
217,i2005,24.14,2020-01-07
218,i2006,24.14,2020-01-07
219,i2007,24.14,2020-01-07
220,i2008,23.34,2020-01-07
221,i2009,23.34,2020-01-07
222,i2010,23.79,2020-01-07
223,i2011,23.44,2020-01-07
224,i2012,26.11,2020-01-07
225,i2002,26.65,2020-01-08
226,i2003,26.65,2020-01-08
227,i2004,22.12,2020-01-08
228,i2005,23.53,2020-01-08
229,i2006,23.53,2020-01-08
230,i2007,23.53,2020-01-08
231,i2008,23.27,2020-01-08
232,i2009,23.27,2020-01-08
233,i2010,24.41,2020-01-08
234,i2011,24.41,2020-01-08
235,i2012,24.33,2020-01-08
236,i2003,31.27,2020-01-09
237,i2004,31.27,2020-01-09
238,i2005,22.6,2020-01-09
239,i2006,22.6,2020-01-09
240,i2007,22.6,2020-01-09
241,i2008,22.49,2020-01-09
242,i2009,22.49,2020-01-09
243,i2010,22.49,2020-01-09
244,i2011,24.55,2020-01-09
245,i2012,24.09,2020-01-09
246,i2003,23.32,2020-01-10
247,i2004,24.45,2020-01-10
248,i2005,22.19,2020-01-10
249,i2006,22.14,2020-01-10
250,i2007,22.99,2020-01-10
251,i2008,22.99,2020-01-10
252,i2009,21.67,2020-01-10
253,i2010,23.38,2020-01-10
254,i2011,23.3,2020-01-10
255,i2012,22.85,2020-01-10
256,i2003,24.06,2020-01-13
257,i2004,23.24,2020-01-13
258,i2005,22.59,2020-01-13
259,i2006,23.74,2020-01-13
260,i2007,22.04,2020-01-13
261,i2008,22.79,2020-01-13
262,i2009,21.89,2020-01-13
263,i2010,23.06,2020-01-13
264,i2011,22.97,2020-01-13
265,i2012,22.5,2020-01-13
266,i2003,24.01,2020-01-14
267,i2004,24.68,2020-01-14
268,i2005,23.05,2020-01-14
269,i2006,21.78,2020-01-14
270,i2007,21.52,2020-01-14
271,i2008,21.52,2020-01-14
272,i2009,22.3,2020-01-14
273,i2010,23.78,2020-01-14
274,i2011,23.78,2020-01-14
275,i2012,22.2,2020-01-14
276,i2003,22.87,2020-01-15
277,i2004,22.87,2020-01-15
278,i2005,22.26,2020-01-15
279,i2006,22.26,2020-01-15
280,i2007,22.25,2020-01-15
281,i2008,22.25,2020-01-15
282,i2009,22.42,2020-01-15
283,i2010,22.42,2020-01-15
284,i2011,23.23,2020-01-15
285,i2012,22.46,2020-01-15
286,i2003,19.56,2020-01-16
287,i2004,21.22,2020-01-16
288,i2005,22.76,2020-01-16
289,i2006,22.76,2020-01-16
290,i2007,22.76,2020-01-16
291,i2008,22.58,2020-01-16
292,i2009,22.58,2020-01-16
293,i2010,22.58,2020-01-16
294,i2011,21.26,2020-01-16
295,i2012,15.09,2020-01-16
296,i2003,23.57,2020-01-17
297,i2004,23.93,2020-01-17
298,i2005,22.92,2020-01-17
299,i2006,22.83,2020-01-17
300,i2007,22.83,2020-01-17
301,i2008,22.4,2020-01-17
302,i2009,22.4,2020-01-17
303,i2010,22.06,2020-01-17
304,i2011,22.06,2020-01-17
305,i2012,22.24,2020-01-17
306,i2101,21.39,2020-01-17
307,i2003,18.94,2020-01-20
308,i2004,18.94,2020-01-20
309,i2005,23.04,2020-01-20
310,i2006,23.43,2020-01-20
311,i2007,23.43,2020-01-20
312,i2008,22.91,2020-01-20
313,i2009,22.91,2020-01-20
314,i2010,22.91,2020-01-20
315,i2011,22.09,2020-01-20
316,i2012,22.09,2020-01-20
317,i2101,8.74,2020-01-20
318,i2003,23.43,2020-01-21
319,i2004,23.43,2020-01-21
320,i2005,23.78,2020-01-21
321,i2006,23.78,2020-01-21
322,i2007,23.78,2020-01-21
323,i2008,22.51,2020-01-21
324,i2009,22.51,2020-01-21
325,i2010,22.51,2020-01-21
326,i2011,21.68,2020-01-21
327,i2012,21.68,2020-01-21
328,i2101,21.68,2020-01-21
329,i2003,25.27,2020-01-22
330,i2004,24.75,2020-01-22
331,i2005,23.54,2020-01-22
332,i2006,22.78,2020-01-22
333,i2007,24.19,2020-01-22
334,i2008,22.57,2020-01-22
335,i2009,22.61,2020-01-22
336,i2010,22.61,2020-01-22
337,i2011,22.43,2020-01-22
338,i2012,22.43,2020-01-22
339,i2101,20.47,2020-01-22
340,i2003,24.33,2020-01-23
341,i2004,16.06,2020-01-23
342,i2005,24.04,2020-01-23
343,i2006,20.91,2020-01-23
344,i2007,26.97,2020-01-23
345,i2008,26.97,2020-01-23
346,i2009,24.1,2020-01-23
347,i2010,24.1,2020-01-23
348,i2011,23.02,2020-01-23
349,i2012,23.02,2020-01-23
350,i2101,21.15,2020-01-23
351,i2003,66.22,2020-02-03
352,i2004,24.14,2020-02-03
353,i2005,37.82,2020-02-03
354,i2006,37.82,2020-02-03
355,i2007,21.19,2020-02-03
356,i2008,21.19,2020-02-03
357,i2009,28.56,2020-02-03
358,i2010,28.56,2020-02-03
359,i2011,27.1,2020-02-03
360,i2012,27.1,2020-02-03
361,i2101,27.1,2020-02-03
362,i2003,45.12,2020-02-04
363,i2004,34.73,2020-02-04
364,i2005,32.87,2020-02-04
365,i2006,28.48,2020-02-04
366,i2007,24.04,2020-02-04
367,i2008,23.94,2020-02-04
368,i2009,29.34,2020-02-04
369,i2010,28.15,2020-02-04
370,i2011,24.13,2020-02-04
371,i2012,24.02,2020-02-04
372,i2101,25.26,2020-02-04
373,i2003,44.05,2020-02-05
374,i2004,28,2020-02-05
375,i2005,32.41,2020-02-05
376,i2006,32.41,2020-02-05
377,i2007,27.7,2020-02-05
378,i2008,27.7,2020-02-05
379,i2009,28.83,2020-02-05
380,i2010,28.83,2020-02-05
381,i2011,25.47,2020-02-05
382,i2012,25.71,2020-02-05
383,i2101,25.89,2020-02-05
384,i2003,58.47,2020-02-06
385,i2004,29.43,2020-02-06
386,i2005,30.24,2020-02-06
387,i2006,26.55,2020-02-06
388,i2007,30.71,2020-02-06
389,i2008,27.87,2020-02-06
390,i2009,28.03,2020-02-06
391,i2010,25.74,2020-02-06
392,i2011,24.61,2020-02-06
393,i2012,26.12,2020-02-06
394,i2101,26.6,2020-02-06
395,i2003,26.56,2020-02-07
396,i2004,26.56,2020-02-07
397,i2005,30.59,2020-02-07
398,i2006,30.59,2020-02-07
399,i2007,27.8,2020-02-07
400,i2008,27.8,2020-02-07
401,i2009,27.8,2020-02-07
402,i2010,27.8,2020-02-07
403,i2011,25.53,2020-02-07
404,i2012,24.98,2020-02-07
405,i2101,26.91,2020-02-07
406,i2004,28.92,2020-02-10
407,i2005,31.02,2020-02-10
408,i2006,31.02,2020-02-10
409,i2007,31.02,2020-02-10
410,i2008,28.19,2020-02-10
411,i2009,28.19,2020-02-10
412,i2010,28.19,2020-02-10
413,i2011,26.25,2020-02-10
414,i2012,26.25,2020-02-10
415,i2101,26.64,2020-02-10
416,i2004,27.11,2020-02-11
417,i2005,30.65,2020-02-11
418,i2006,30.65,2020-02-11
419,i2007,30.36,2020-02-11
420,i2008,30.36,2020-02-11
421,i2009,27.92,2020-02-11
422,i2010,27.92,2020-02-11
423,i2011,25.48,2020-02-11
424,i2012,25.48,2020-02-11
425,i2101,24.67,2020-02-11
426,i2004,27.13,2020-02-12
427,i2005,30.48,2020-02-12
428,i2006,26.94,2020-02-12
429,i2007,31.55,2020-02-12
430,i2008,31.55,2020-02-12
431,i2009,27.27,2020-02-12
432,i2010,27.27,2020-02-12
433,i2011,24.75,2020-02-12
434,i2012,24.75,2020-02-12
435,i2101,26.4,2020-02-12
436,i2004,32.7,2020-02-13
437,i2005,30.24,2020-02-13
438,i2006,30.24,2020-02-13
439,i2007,16.36,2020-02-13
440,i2008,16.36,2020-02-13
441,i2009,27.58,2020-02-13
442,i2010,27.58,2020-02-13
443,i2011,24.84,2020-02-13
444,i2012,24.84,2020-02-13
445,i2101,14.91,2020-02-13
446,i2004,30.71,2020-02-14
447,i2005,29.99,2020-02-14
448,i2006,29.68,2020-02-14
449,i2007,29.68,2020-02-14
450,i2008,27.01,2020-02-14
451,i2009,27.01,2020-02-14
452,i2010,27.01,2020-02-14
453,i2011,24.04,2020-02-14
454,i2012,24.04,2020-02-14
455,i2101,24.47,2020-02-14
456,i2004,34.72,2020-02-17
457,i2005,29.92,2020-02-17
458,i2006,24.03,2020-02-17
459,i2007,24.03,2020-02-17
460,i2008,26.72,2020-02-17
461,i2009,26.72,2020-02-17
462,i2010,27.55,2020-02-17
463,i2011,24.71,2020-02-17
464,i2012,26.68,2020-02-17
465,i2101,24.86,2020-02-17
466,i2004,31.13,2020-02-18
467,i2005,29.09,2020-02-18
468,i2006,24.7,2020-02-18
469,i2007,24.7,2020-02-18
470,i2008,26.58,2020-02-18
471,i2009,26.58,2020-02-18
472,i2010,26.2,2020-02-18
473,i2011,25.48,2020-02-18
474,i2012,24.04,2020-02-18
475,i2101,26.13,2020-02-18
476,i2102,26.13,2020-02-18
477,i2004,17.42,2020-02-19
478,i2005,29.42,2020-02-19
479,i2006,29.42,2020-02-19
480,i2007,31.03,2020-02-19
481,i2008,31.03,2020-02-19
482,i2009,25.8,2020-02-19
483,i2010,23.67,2020-02-19
484,i2011,26.27,2020-02-19
485,i2012,24.59,2020-02-19
486,i2101,21.24,2020-02-19
487,i2102,21.24,2020-02-19
488,i2004,26.78,2020-02-20
489,i2005,30.2,2020-02-20
490,i2006,30.2,2020-02-20
491,i2007,24.43,2020-02-20
492,i2008,24.43,2020-02-20
493,i2009,26.72,2020-02-20
494,i2010,24.38,2020-02-20
495,i2011,26.22,2020-02-20
496,i2012,24.22,2020-02-20
497,i2101,26.39,2020-02-20
498,i2102,26.39,2020-02-20
499,i2004,29.52,2020-02-21
500,i2005,31.02,2020-02-21
501,i2006,29.92,2020-02-21
502,i2007,30.94,2020-02-21
503,i2008,29.12,2020-02-21
504,i2009,26.04,2020-02-21
505,i2010,26.04,2020-02-21
506,i2011,26.66,2020-02-21
507,i2012,24.02,2020-02-21
508,i2101,24.02,2020-02-21
509,i2102,24.62,2020-02-21
510,i2004,28.19,2020-02-24
511,i2005,35.13,2020-02-24
512,i2006,28.57,2020-02-24
513,i2007,30.42,2020-02-24
514,i2008,28.25,2020-02-24
515,i2009,27.95,2020-02-24
516,i2010,21.91,2020-02-24
517,i2011,25.63,2020-02-24
518,i2012,24.4,2020-02-24
519,i2101,26.98,2020-02-24
520,i2102,26.98,2020-02-24
521,i2004,32.98,2020-02-25
522,i2005,35.58,2020-02-25
523,i2006,29.63,2020-02-25
524,i2007,28.93,2020-02-25
525,i2008,28.93,2020-02-25
526,i2009,28.33,2020-02-25
527,i2010,28.85,2020-02-25
528,i2011,27.66,2020-02-25
529,i2012,24.87,2020-02-25
530,i2101,24.87,2020-02-25
531,i2102,24.87,2020-02-25
532,i2004,53.5,2020-02-26
533,i2005,36.35,2020-02-26
534,i2006,29.99,2020-02-26
535,i2007,33.57,2020-02-26
536,i2008,29.49,2020-02-26
537,i2009,29,2020-02-26
538,i2010,29,2020-02-26
539,i2011,24,2020-02-26
540,i2012,24,2020-02-26
541,i2101,25.06,2020-02-26
542,i2102,25.06,2020-02-26
543,i2004,34.97,2020-02-27
544,i2005,34.19,2020-02-27
545,i2006,23.55,2020-02-27
546,i2007,23.55,2020-02-27
547,i2008,27.85,2020-02-27
548,i2009,27.85,2020-02-27
549,i2010,27.85,2020-02-27
550,i2011,26.94,2020-02-27
551,i2012,24.68,2020-02-27
552,i2101,25.92,2020-02-27
553,i2102,25.92,2020-02-27
554,i2004,34.4,2020-02-28
555,i2005,36.05,2020-02-28
556,i2006,28.26,2020-02-28
557,i2007,28.71,2020-02-28
558,i2008,28.41,2020-02-28
559,i2009,29.58,2020-02-28
560,i2010,29.58,2020-02-28
561,i2011,26.61,2020-02-28
562,i2012,25.78,2020-02-28
563,i2101,25.41,2020-02-28
564,i2102,25.41,2020-02-28
565,i2004,45.24,2020-03-02
566,i2005,38.06,2020-03-02
567,i2006,29.92,2020-03-02
568,i2007,35.16,2020-03-02
569,i2008,35.16,2020-03-02
570,i2009,29.68,2020-03-02
571,i2010,32.07,2020-03-02
572,i2011,29.39,2020-03-02
573,i2012,31.3,2020-03-02
574,i2101,24.92,2020-03-02
575,i2102,24.92,2020-03-02
576,i2004,38.89,2020-03-03
577,i2005,38.7,2020-03-03
578,i2006,32.79,2020-03-03
579,i2007,35.28,2020-03-03
580,i2008,34.92,2020-03-03
581,i2009,30.54,2020-03-03
582,i2010,30.54,2020-03-03
583,i2011,27.39,2020-03-03
584,i2012,27.39,2020-03-03
585,i2101,26.01,2020-03-03
586,i2102,26.01,2020-03-03
587,i2004,47.29,2020-03-04
588,i2005,38.36,2020-03-04
589,i2006,31.04,2020-03-04
590,i2007,32.89,2020-03-04
591,i2008,32.89,2020-03-04
592,i2009,29.46,2020-03-04
593,i2010,29.72,2020-03-04
594,i2011,27.38,2020-03-04
595,i2012,26.35,2020-03-04
596,i2101,27.2,2020-03-04
597,i2102,27.2,2020-03-04
598,i2004,36.6,2020-03-05
599,i2005,38.47,2020-03-05
600,i2006,33.86,2020-03-05
601,i2007,33.26,2020-03-05
602,i2008,33.26,2020-03-05
603,i2009,30.11,2020-03-05
604,i2010,32.92,2020-03-05
605,i2011,32.92,2020-03-05
606,i2012,27.06,2020-03-05
607,i2101,27.06,2020-03-05
608,i2102,27.06,2020-03-05
609,i2004,39.14,2020-03-06
610,i2005,39.14,2020-03-06
611,i2006,28.71,2020-03-06
612,i2007,33.93,2020-03-06
613,i2008,33.93,2020-03-06
614,i2009,29.92,2020-03-06
615,i2010,29.92,2020-03-06
616,i2011,26.64,2020-03-06
617,i2012,26.64,2020-03-06
618,i2101,26.65,2020-03-06
619,i2102,26.65,2020-03-06
620,i2005,41.86,2020-03-09
621,i2006,32.34,2020-03-09
622,i2007,31.66,2020-03-09
623,i2008,31.66,2020-03-09
624,i2009,32.35,2020-03-09
625,i2010,32.35,2020-03-09
626,i2011,32.35,2020-03-09
627,i2012,27.1,2020-03-09
628,i2101,27.1,2020-03-09
629,i2102,27.72,2020-03-09
630,i2005,41.9,2020-03-10
631,i2006,41.9,2020-03-10
632,i2007,28.04,2020-03-10
633,i2008,28.04,2020-03-10
634,i2009,32.15,2020-03-10
635,i2010,32.15,2020-03-10
636,i2011,28.28,2020-03-10
637,i2012,27.99,2020-03-10
638,i2101,27.43,2020-03-10
639,i2102,26.46,2020-03-10
640,i2005,41.12,2020-03-11
641,i2006,32.34,2020-03-11
642,i2007,33.19,2020-03-11
643,i2008,33.19,2020-03-11
644,i2009,33.51,2020-03-11
645,i2010,31.8,2020-03-11
646,i2011,31.8,2020-03-11
647,i2012,28.42,2020-03-11
648,i2101,28.42,2020-03-11
649,i2102,27.44,2020-03-11
650,i2005,47.19,2020-03-12
651,i2006,33.47,2020-03-12
652,i2007,37.07,2020-03-12
653,i2008,34.36,2020-03-12
654,i2009,35.56,2020-03-12
655,i2010,32.05,2020-03-12
656,i2011,32.05,2020-03-12
657,i2012,29.62,2020-03-12
658,i2101,30.29,2020-03-12
659,i2102,30.29,2020-03-12
660,i2005,50.93,2020-03-13
661,i2006,37.39,2020-03-13
662,i2007,37.93,2020-03-13
663,i2008,37.53,2020-03-13
664,i2009,38.77,2020-03-13
665,i2010,38.77,2020-03-13
666,i2011,33.72,2020-03-13
667,i2012,31.3,2020-03-13
668,i2101,32.27,2020-03-13
669,i2102,32.27,2020-03-13
670,i2005,56.03,2020-03-16
671,i2006,32.02,2020-03-16
672,i2007,43.44,2020-03-16
673,i2008,38.94,2020-03-16
674,i2009,40.53,2020-03-16
675,i2010,36.16,2020-03-16
676,i2011,35.24,2020-03-16
677,i2012,34.52,2020-03-16
678,i2101,31.93,2020-03-16
679,i2102,31.75,2020-03-16
680,i2005,55.05,2020-03-17
681,i2006,36.18,2020-03-17
682,i2007,41.94,2020-03-17
683,i2008,45.66,2020-03-17
684,i2009,39.61,2020-03-17
685,i2010,38.04,2020-03-17
686,i2011,38.04,2020-03-17
687,i2012,35.09,2020-03-17
688,i2101,34.59,2020-03-17
689,i2102,34.59,2020-03-17
690,i2103,34.59,2020-03-17
691,i2005,55.89,2020-03-18
692,i2006,39.63,2020-03-18
693,i2007,50.05,2020-03-18
694,i2008,49.46,2020-03-18
695,i2009,40.59,2020-03-18
696,i2010,30.91,2020-03-18
697,i2011,30.91,2020-03-18
698,i2012,37.02,2020-03-18
699,i2101,37.02,2020-03-18
700,i2102,37.02,2020-03-18
701,i2103,37.02,2020-03-18
702,i2005,62.85,2020-03-19
703,i2006,44.44,2020-03-19
704,i2007,44.16,2020-03-19
705,i2008,52.74,2020-03-19
706,i2009,47.4,2020-03-19
707,i2010,47.4,2020-03-19
708,i2011,39.2,2020-03-19
709,i2012,39.2,2020-03-19
710,i2101,32.17,2020-03-19
711,i2102,32.17,2020-03-19
712,i2103,32.17,2020-03-19
713,i2005,63.56,2020-03-20
714,i2006,60,2020-03-20
715,i2007,56.59,2020-03-20
716,i2008,53.81,2020-03-20
717,i2009,47.84,2020-03-20
718,i2010,40.02,2020-03-20
719,i2011,38.21,2020-03-20
720,i2012,40.18,2020-03-20
721,i2101,36.01,2020-03-20
722,i2102,36.01,2020-03-20
723,i2103,36.01,2020-03-20
724,i2005,63.17,2020-03-23
725,i2006,51.46,2020-03-23
726,i2007,55.53,2020-03-23
727,i2008,50.18,2020-03-23
728,i2009,52.23,2020-03-23
729,i2010,44.38,2020-03-23
730,i2011,41.15,2020-03-23
731,i2012,42.05,2020-03-23
732,i2101,40.39,2020-03-23
733,i2102,40.39,2020-03-23
734,i2103,40.39,2020-03-23
735,i2005,59.83,2020-03-24
736,i2006,50.47,2020-03-24
737,i2007,46.86,2020-03-24
738,i2008,55.19,2020-03-24
739,i2009,50.78,2020-03-24
740,i2010,46.7,2020-03-24
741,i2011,46.7,2020-03-24
742,i2012,39.56,2020-03-24
743,i2101,43.86,2020-03-24
744,i2102,43.86,2020-03-24
745,i2103,43.86,2020-03-24
746,i2005,57.84,2020-03-25
747,i2006,50.89,2020-03-25
748,i2007,50.89,2020-03-25
749,i2008,48.11,2020-03-25
750,i2009,48.11,2020-03-25
751,i2010,43.71,2020-03-25
752,i2011,43.71,2020-03-25
753,i2012,40.41,2020-03-25
754,i2101,42.1,2020-03-25
755,i2102,42.1,2020-03-25
756,i2103,42.1,2020-03-25
757,i2005,58.61,2020-03-26
758,i2006,43.39,2020-03-26
759,i2007,47.97,2020-03-26
760,i2008,53.94,2020-03-26
761,i2009,46.26,2020-03-26
762,i2010,20.97,2020-03-26
763,i2011,20.97,2020-03-26
764,i2012,43.77,2020-03-26
765,i2101,39.28,2020-03-26
766,i2102,37.72,2020-03-26
767,i2103,36.67,2020-03-26
768,i2005,54.96,2020-03-27
769,i2006,46.26,2020-03-27
770,i2007,49.75,2020-03-27
771,i2008,42.63,2020-03-27
772,i2009,45.35,2020-03-27
773,i2010,39.39,2020-03-27
774,i2011,37.74,2020-03-27
775,i2012,37.06,2020-03-27
776,i2101,36.2,2020-03-27
777,i2102,36.29,2020-03-27
778,i2103,35.71,2020-03-27
779,i2005,53.33,2020-03-30
780,i2006,43.86,2020-03-30
781,i2007,43.61,2020-03-30
782,i2008,43.61,2020-03-30
783,i2009,44.27,2020-03-30
784,i2010,44.27,2020-03-30
785,i2011,34.91,2020-03-30
786,i2012,34.91,2020-03-30
787,i2101,38.67,2020-03-30
788,i2102,38.67,2020-03-30
789,i2103,38.67,2020-03-30
790,i2005,49.21,2020-03-31
791,i2006,39.94,2020-03-31
792,i2007,38.38,2020-03-31
793,i2008,37.91,2020-03-31
794,i2009,42.34,2020-03-31
795,i2010,42.09,2020-03-31
796,i2011,42.09,2020-03-31
797,i2012,37.43,2020-03-31
798,i2101,37.43,2020-03-31
799,i2102,37.43,2020-03-31
800,i2103,37.43,2020-03-31
801,i2005,46.71,2020-04-01
802,i2006,43.69,2020-04-01
803,i2007,49.6,2020-04-01
804,i2008,37.07,2020-04-01
805,i2009,41.64,2020-04-01
806,i2010,37.73,2020-04-01
807,i2011,37.73,2020-04-01
808,i2012,37.46,2020-04-01
809,i2101,37.46,2020-04-01
810,i2102,37.46,2020-04-01
811,i2103,37.46,2020-04-01
812,i2005,53.29,2020-04-02
813,i2006,41.07,2020-04-02
814,i2007,46.15,2020-04-02
815,i2008,46.15,2020-04-02
816,i2009,41.6,2020-04-02
817,i2010,41.6,2020-04-02
818,i2011,41.24,2020-04-02
819,i2012,41.24,2020-04-02
820,i2101,35.82,2020-04-02
821,i2102,35.82,2020-04-02
